Threads,CpuTime,UserTime,SystemTime
1,2.176,2.153,0.020
2,2.191,2.169,0.020
3,2.198,2.171,0.024
4,2.171,2.137,0.032
5,2.170,2.156,0.012
6,2.217,2.190,0.020
7,2.172,2.146,0.024
8,2.169,2.155,0.012
