Threads,CpuTime,UserTime,SystemTime
1,3.119,1.871,1.277
1,2.799,1.724,1.092
1,3.220,1.915,1.268
1,3.130,1.893,1.239
1,3.142,1.798,1.078
2,2.560,1.985,1.169
2,2.408,2.027,1.197
2,2.219,2.042,1.286
2,2.291,1.969,1.212
2,2.059,1.886,1.131
3,1.936,1.854,1.149
3,1.791,1.777,1.020
3,1.826,1.846,1.114
3,1.835,1.815,1.059
3,2.004,1.755,1.018
4,1.720,1.770,1.078
4,1.799,1.925,1.233
4,1.734,1.805,1.105
4,1.719,1.771,1.071
4,1.843,1.894,1.173
5,1.802,1.853,1.207
5,1.739,1.802,1.154
5,1.800,1.861,1.204
5,1.790,1.856,1.190
5,1.819,1.819,1.195
6,1.834,1.886,1.230
6,1.743,1.793,1.165
6,1.848,1.946,1.338
6,1.729,1.818,1.225
6,1.836,1.920,1.290
7,2.050,2.110,1.545
7,2.074,2.130,1.469
7,2.289,2.320,1.724
7,1.885,2.050,1.453
7,1.915,1.965,1.407
8,1.890,1.848,1.291
8,1.822,1.904,1.319
8,1.847,1.903,1.334
8,1.744,1.837,1.274
8,1.800,1.843,1.235
