Threads,CpuTime,UserTime,SystemTime
1,2.191,2.163,0.025
1,2.225,2.203,0.020
1,2.196,2.166,0.028
1,2.202,2.176,0.024
1,2.206,2.184,0.020
1,2.209,2.171,0.036
1,2.218,2.185,0.032
1,2.214,2.176,0.036
1,2.190,2.153,0.036
1,2.215,2.198,0.016
2,1.152,2.160,0.029
2,1.167,2.178,0.039
2,1.158,2.169,0.032
2,1.171,2.192,0.040
2,1.151,2.163,0.024
2,1.149,2.164,0.020
2,1.173,2.211,0.020
2,1.174,2.186,0.049
2,1.187,2.220,0.036
2,1.152,2.174,0.020
3,0.818,2.190,0.032
3,0.812,2.181,0.024
3,0.805,2.161,0.032
3,0.804,2.155,0.036
3,0.805,2.165,0.024
3,0.802,2.163,0.020
3,0.815,2.173,0.035
3,0.817,2.174,0.049
3,0.817,2.198,0.028
3,0.811,2.154,0.054
4,1.151,2.164,0.034
4,1.146,2.152,0.038
4,1.147,2.148,0.038
4,1.154,2.163,0.038
4,1.169,2.197,0.035
4,1.165,2.184,0.038
4,1.160,2.173,0.038
4,1.164,2.199,0.022
4,1.156,2.165,0.042
4,1.181,2.206,0.050
5,0.959,2.197,0.038
5,0.943,2.183,0.022
5,0.951,2.173,0.042
5,0.950,2.176,0.048
5,0.952,2.192,0.026
5,0.960,2.188,0.046
5,0.946,2.178,0.026
5,0.968,2.220,0.027
5,0.957,2.189,0.048
5,0.955,2.173,0.050
6,0.806,2.164,0.048
6,0.810,2.171,0.043
6,0.811,2.171,0.043
6,0.807,2.165,0.035
6,0.802,2.152,0.044
6,0.827,2.223,0.045
6,0.821,2.178,0.052
6,0.822,2.200,0.050
6,0.807,2.147,0.054
6,0.810,2.158,0.055
7,1.001,2.140,0.051
7,1.001,2.164,0.030
7,1.010,2.162,0.047
7,1.005,2.153,0.055
7,1.001,2.153,0.049
7,1.004,2.156,0.044
7,1.005,2.154,0.056
7,1.015,2.148,0.062
7,1.019,2.206,0.030
7,1.002,2.148,0.047
8,1.158,2.175,0.045
8,1.178,2.211,0.044
8,1.174,2.187,0.049
8,1.152,2.163,0.048
8,1.147,2.122,0.070
8,1.155,2.161,0.042
8,1.156,2.162,0.052
8,1.166,2.177,0.062
8,1.169,2.181,0.059
8,1.158,2.191,0.038
