Threads,CpuTime,UserTime,SystemTime
1,1.575,0.398,0.061
1,0.497,0.442,0.061
1,0.473,0.420,0.047
1,0.456,0.406,0.049
1,0.456,0.404,0.047
1,0.458,0.407,0.051
1,0.474,0.420,0.046
1,0.486,0.430,0.066
1,0.474,0.421,0.060
1,0.633,0.507,0.068
2,0.536,0.469,0.053
2,0.474,0.419,0.050
2,0.480,0.422,0.051
2,0.481,0.423,0.053
2,0.488,0.429,0.059
2,0.495,0.428,0.058
2,0.480,0.427,0.047
2,0.458,0.413,0.044
2,0.458,0.409,0.057
2,0.478,0.428,0.051
3,0.489,0.433,0.079
3,0.453,0.405,0.049
3,0.466,0.410,0.057
3,0.485,0.430,0.063
3,0.461,0.412,0.059
3,0.480,0.426,0.064
3,0.453,0.401,0.047
3,0.542,0.487,0.054
3,0.471,0.412,0.061
3,0.455,0.409,0.050
4,0.458,0.410,0.051
4,0.459,0.408,0.060
4,0.447,0.401,0.049
4,0.466,0.409,0.055
4,0.486,0.434,0.069
4,0.448,0.404,0.046
4,0.452,0.404,0.050
4,0.542,0.462,0.061
4,0.565,0.495,0.072
4,0.484,0.431,0.067
5,0.484,0.432,0.067
5,0.460,0.409,0.057
5,0.491,0.435,0.061
5,0.472,0.417,0.066
5,0.476,0.426,0.057
5,0.461,0.412,0.057
5,0.509,0.454,0.070
5,0.466,0.413,0.063
5,0.493,0.437,0.062
5,0.515,0.443,0.072
6,0.489,0.436,0.053
6,0.526,0.437,0.085
6,0.492,0.439,0.071
6,0.488,0.432,0.072
6,0.509,0.455,0.068
6,0.491,0.427,0.058
6,0.511,0.454,0.058
6,0.488,0.436,0.068
6,0.493,0.439,0.059
6,0.473,0.419,0.063
7,0.485,0.428,0.059
7,0.465,0.408,0.057
7,0.470,0.417,0.057
7,0.497,0.438,0.066
7,0.466,0.412,0.054
7,0.509,0.442,0.070
7,0.459,0.411,0.050
7,0.475,0.428,0.050
7,0.460,0.410,0.054
7,0.479,0.427,0.064
8,0.494,0.442,0.074
8,0.506,0.451,0.059
8,0.479,0.425,0.058
8,0.467,0.416,0.056
8,0.490,0.434,0.079
8,0.456,0.408,0.049
8,0.448,0.403,0.047
8,0.453,0.406,0.054
8,0.476,0.424,0.050
8,0.452,0.404,0.051
