Threads,CpuTime,UserTime,SystemTime
1,2.208,2.169,0.028
1,2.244,2.204,0.039
1,2.208,2.183,0.024
1,2.191,2.161,0.028
1,2.231,2.201,0.028
1,2.259,2.222,0.036
1,2.224,2.202,0.020
1,2.214,2.188,0.024
1,2.203,2.186,0.016
1,2.231,2.205,0.024
2,1.154,2.158,0.036
2,1.163,2.183,0.030
2,1.151,2.173,0.013
2,1.152,2.178,0.012
2,1.154,2.167,0.024
2,1.146,2.152,0.025
2,1.151,2.139,0.048
2,1.152,2.147,0.045
2,1.143,2.134,0.041
2,1.165,2.175,0.040
3,0.807,2.178,0.021
3,0.808,2.145,0.041
3,0.808,2.182,0.013
3,0.806,2.146,0.044
3,0.815,2.202,0.025
3,0.808,2.175,0.020
3,0.814,2.178,0.044
3,0.805,2.143,0.044
3,0.814,2.186,0.037
3,0.823,2.207,0.033
4,1.156,2.183,0.023
4,1.153,2.169,0.022
4,1.148,2.147,0.038
4,1.164,2.184,0.031
4,1.165,2.179,0.038
4,1.155,2.161,0.042
4,1.148,2.147,0.049
4,1.161,2.174,0.043
4,1.159,2.165,0.042
4,1.147,2.150,0.037
5,0.940,2.148,0.039
5,0.950,2.145,0.065
5,0.947,2.165,0.045
5,0.956,2.189,0.034
5,0.949,2.169,0.036
5,0.952,2.184,0.042
5,0.951,2.180,0.040
5,0.948,2.144,0.057
5,0.939,2.167,0.023
5,0.941,2.157,0.032
6,0.818,2.186,0.054
6,0.809,2.168,0.048
6,0.819,2.188,0.051
6,0.812,2.179,0.037
6,0.809,2.175,0.032
6,0.818,2.206,0.025
6,0.816,2.191,0.032
6,0.805,2.163,0.031
6,0.807,2.173,0.039
6,0.810,2.157,0.038
7,1.005,2.187,0.032
7,1.024,2.210,0.041
7,0.996,2.158,0.039
7,0.997,2.136,0.048
7,1.017,2.206,0.039
7,1.019,2.209,0.018
7,1.023,2.189,0.053
7,1.009,2.158,0.057
7,1.019,2.179,0.055
7,0.997,2.131,0.055
8,1.153,2.171,0.042
8,1.161,2.166,0.047
8,1.152,2.170,0.039
8,1.155,2.170,0.050
8,1.158,2.178,0.056
8,1.154,2.137,0.076
8,1.165,2.182,0.048
8,1.145,2.155,0.045
8,1.177,2.211,0.052
8,1.158,2.173,0.048
