Threads,CpuTime,UserTime,SystemTime
1,0.461,0.409,0.053
1,0.455,0.410,0.046
1,0.458,0.410,0.045
1,0.476,0.424,0.046
1,0.463,0.418,0.051
1,0.483,0.432,0.048
1,0.443,0.398,0.044
1,0.453,0.409,0.047
1,0.470,0.422,0.054
1,0.459,0.409,0.051
1,0.467,0.420,0.046
1,0.454,0.408,0.048
1,0.470,0.417,0.048
1,0.462,0.412,0.049
1,0.457,0.409,0.048
1,0.511,0.456,0.044
1,0.498,0.442,0.047
1,0.492,0.437,0.054
1,0.495,0.445,0.045
1,0.528,0.477,0.044
1,0.563,0.500,0.055
1,0.547,0.484,0.056
1,0.581,0.517,0.053
1,0.587,0.511,0.063
1,0.652,0.536,0.062
1,0.577,0.508,0.056
1,0.603,0.530,0.060
1,0.612,0.507,0.065
1,0.539,0.476,0.054
1,0.480,0.427,0.049
1,0.451,0.404,0.043
1,0.454,0.408,0.043
1,0.450,0.403,0.045
1,0.452,0.407,0.043
1,0.450,0.404,0.043
1,0.452,0.406,0.044
1,0.489,0.428,0.047
1,0.477,0.423,0.049
1,0.447,0.399,0.046
1,0.472,0.420,0.053
1,0.467,0.413,0.048
1,0.470,0.416,0.048
1,0.448,0.403,0.043
1,0.438,0.395,0.042
1,0.487,0.436,0.047
1,0.480,0.428,0.047
1,0.542,0.471,0.046
1,0.515,0.450,0.054
1,0.485,0.427,0.049
1,0.480,0.428,0.048
1,0.523,0.461,0.050
1,0.469,0.417,0.047
1,0.504,0.448,0.050
1,0.443,0.398,0.044
1,0.485,0.424,0.051
1,0.488,0.435,0.050
1,0.476,0.423,0.045
1,0.457,0.411,0.044
1,0.486,0.429,0.049
1,0.461,0.409,0.045
1,0.486,0.432,0.052
1,0.476,0.424,0.049
1,0.470,0.423,0.046
1,0.492,0.437,0.048
1,0.469,0.420,0.042
1,0.473,0.421,0.048
1,0.472,0.422,0.053
1,0.463,0.415,0.046
1,0.502,0.446,0.052
1,0.496,0.440,0.048
1,0.481,0.426,0.052
1,0.481,0.430,0.056
1,0.503,0.449,0.047
1,0.468,0.417,0.047
1,0.490,0.432,0.051
1,0.470,0.415,0.049
1,0.492,0.422,0.049
1,0.503,0.444,0.049
1,0.500,0.441,0.052
1,0.591,0.501,0.054
1,0.453,0.408,0.043
1,0.472,0.420,0.051
1,0.507,0.451,0.051
1,0.484,0.431,0.049
1,0.475,0.425,0.045
1,0.480,0.429,0.048
1,0.448,0.403,0.043
1,0.515,0.453,0.052
1,0.484,0.428,0.051
1,0.480,0.428,0.046
1,0.477,0.420,0.051
1,0.510,0.450,0.052
1,0.463,0.415,0.044
1,0.536,0.456,0.060
1,0.460,0.411,0.046
1,0.533,0.464,0.062
1,0.514,0.442,0.058
1,0.467,0.415,0.055
1,0.477,0.425,0.046
1,0.577,0.486,0.054
2,0.493,0.432,0.054
2,0.505,0.447,0.052
2,0.477,0.427,0.058
2,0.460,0.414,0.044
2,0.485,0.434,0.068
2,0.451,0.406,0.048
2,0.460,0.408,0.057
2,0.458,0.412,0.049
2,0.444,0.400,0.044
2,0.458,0.413,0.046
2,0.447,0.400,0.045
2,0.450,0.406,0.044
2,0.449,0.400,0.045
2,0.464,0.417,0.054
2,0.448,0.402,0.044
2,0.486,0.435,0.069
2,0.443,0.398,0.043
2,0.463,0.410,0.049
2,0.495,0.443,0.055
2,0.542,0.464,0.067
2,0.502,0.445,0.050
2,0.483,0.427,0.057
2,0.493,0.441,0.051
2,0.501,0.443,0.063
2,0.488,0.436,0.060
2,0.572,0.485,0.064
2,0.559,0.478,0.063
2,0.476,0.422,0.060
2,0.470,0.418,0.050
2,0.463,0.411,0.049
2,0.568,0.477,0.064
2,0.549,0.468,0.063
2,0.454,0.406,0.047
2,0.453,0.404,0.047
2,0.451,0.403,0.046
2,0.459,0.413,0.047
2,0.515,0.450,0.053
2,0.509,0.443,0.059
2,0.541,0.460,0.063
2,0.541,0.463,0.062
2,0.521,0.457,0.057
2,0.510,0.442,0.056
2,0.548,0.466,0.068
2,0.506,0.441,0.059
2,0.554,0.472,0.061
2,0.525,0.448,0.061
2,0.521,0.449,0.054
2,0.488,0.431,0.051
2,0.501,0.438,0.053
2,0.469,0.416,0.056
2,0.535,0.459,0.065
2,0.454,0.407,0.045
2,0.510,0.446,0.056
2,0.570,0.480,0.065
2,0.499,0.434,0.055
2,0.476,0.424,0.069
2,0.455,0.405,0.053
2,0.458,0.410,0.046
2,0.477,0.424,0.055
2,0.457,0.410,0.050
2,0.460,0.413,0.051
2,0.124,0.075,0.047
2,0.121,0.074,0.044
2,0.123,0.075,0.046
2,0.142,0.082,0.053
2,0.120,0.074,0.045
2,0.116,0.071,0.044
2,0.115,0.072,0.042
2,0.115,0.071,0.042
2,0.119,0.073,0.042
2,0.111,0.069,0.041
2,0.110,0.068,0.041
2,0.138,0.082,0.051
2,0.122,0.074,0.044
2,0.124,0.076,0.046
2,0.143,0.084,0.052
2,0.141,0.083,0.051
2,0.136,0.080,0.050
2,0.137,0.082,0.050
2,0.136,0.078,0.051
2,0.113,0.070,0.041
2,0.111,0.069,0.041
2,0.113,0.070,0.042
2,0.113,0.071,0.041
2,0.113,0.069,0.043
2,0.115,0.070,0.042
2,0.112,0.069,0.041
2,0.107,0.067,0.039
2,0.116,0.071,0.044
2,0.117,0.072,0.043
2,0.120,0.074,0.043
2,0.117,0.072,0.044
2,0.123,0.075,0.044
2,0.145,0.084,0.051
2,0.118,0.072,0.043
2,0.118,0.073,0.044
2,0.119,0.074,0.043
2,0.124,0.076,0.045
2,0.116,0.071,0.044
2,0.117,0.071,0.044
3,0.115,0.071,0.043
3,0.120,0.074,0.045
3,0.123,0.074,0.045
3,0.120,0.074,0.044
3,0.122,0.074,0.045
3,0.115,0.071,0.043
