Threads,CpuTime,UserTime,SystemTime
1,0.434,0.335,0.058
1,0.424,0.337,0.054
1,0.429,0.334,0.055
1,0.432,0.334,0.056
1,0.425,0.334,0.055
1,0.429,0.342,0.054
1,0.429,0.351,0.054
1,0.429,0.336,0.054
1,0.427,0.330,0.052
1,0.430,0.342,0.054
1,0.429,0.330,0.055
1,0.433,0.337,0.056
1,0.434,0.329,0.054
1,0.435,0.340,0.057
1,0.427,0.333,0.053
1,0.422,0.325,0.054
1,0.431,0.333,0.055
1,0.432,0.326,0.055
1,0.436,0.336,0.056
1,0.428,0.334,0.054
1,0.429,0.344,0.055
1,0.430,0.334,0.054
1,0.427,0.334,0.055
1,0.428,0.340,0.057
1,0.428,0.330,0.054
1,0.429,0.334,0.052
1,0.429,0.339,0.053
1,0.427,0.326,0.054
1,0.430,0.340,0.052
1,0.427,0.334,0.053
1,0.441,0.344,0.058
1,0.427,0.335,0.053
1,0.428,0.338,0.054
1,0.430,0.325,0.053
1,0.428,0.332,0.052
1,0.429,0.336,0.057
1,0.439,0.338,0.056
1,0.427,0.342,0.055
1,0.431,0.329,0.056
1,0.427,0.335,0.054
1,0.428,0.332,0.053
1,0.426,0.333,0.054
1,0.434,0.337,0.055
1,0.427,0.330,0.056
1,0.427,0.334,0.054
1,0.427,0.332,0.053
1,0.430,0.329,0.054
1,0.427,0.334,0.053
1,0.429,0.341,0.058
1,0.429,0.330,0.054
1,0.431,0.345,0.058
1,0.431,0.328,0.054
1,0.424,0.333,0.053
1,0.427,0.331,0.052
1,0.430,0.334,0.054
1,0.427,0.327,0.051
1,0.428,0.328,0.055
1,0.429,0.335,0.056
1,0.429,0.336,0.056
1,0.430,0.340,0.054
1,0.436,0.330,0.055
1,0.427,0.331,0.054
1,0.432,0.331,0.056
1,0.428,0.330,0.054
1,0.428,0.334,0.054
1,0.428,0.321,0.052
1,0.429,0.334,0.053
1,0.428,0.331,0.057
1,0.429,0.331,0.053
1,0.427,0.329,0.052
1,0.431,0.337,0.056
1,0.429,0.336,0.054
1,0.427,0.337,0.054
1,0.427,0.340,0.053
1,0.430,0.330,0.053
1,0.429,0.328,0.054
1,0.438,0.338,0.060
1,0.432,0.335,0.055
1,0.426,0.336,0.055
1,0.437,0.334,0.055
1,0.432,0.336,0.057
1,0.427,0.340,0.053
1,0.429,0.334,0.056
1,0.430,0.331,0.057
1,0.428,0.335,0.055
1,0.427,0.346,0.058
1,0.441,0.339,0.056
1,0.426,0.334,0.054
1,0.429,0.338,0.053
1,0.429,0.341,0.055
1,0.429,0.341,0.054
1,0.428,0.329,0.054
1,0.429,0.326,0.054
1,0.440,0.338,0.059
1,0.428,0.337,0.057
1,0.430,0.331,0.054
1,0.428,0.338,0.053
1,0.429,0.329,0.053
1,0.432,0.335,0.055
1,0.424,0.330,0.054
2,0.328,0.374,0.058
2,0.327,0.378,0.057
2,0.331,0.371,0.058
2,0.324,0.373,0.056
2,0.324,0.382,0.057
2,0.328,0.377,0.058
2,0.325,0.375,0.059
2,0.330,0.378,0.061
2,0.326,0.369,0.057
2,0.332,0.377,0.060
2,0.329,0.384,0.058
2,0.327,0.368,0.057
2,0.323,0.371,0.056
2,0.329,0.382,0.058
2,0.328,0.375,0.057
2,0.333,0.374,0.060
2,0.330,0.384,0.057
2,0.329,0.378,0.057
2,0.325,0.381,0.059
2,0.331,0.381,0.059
2,0.325,0.378,0.055
2,0.334,0.372,0.060
2,0.326,0.381,0.058
2,0.324,0.374,0.057
2,0.331,0.375,0.059
2,0.330,0.384,0.057
2,0.331,0.372,0.058
2,0.329,0.378,0.059
2,0.324,0.379,0.056
2,0.324,0.376,0.058
2,0.330,0.376,0.059
2,0.329,0.374,0.058
2,0.324,0.374,0.057
2,0.325,0.373,0.060
2,0.328,0.367,0.058
2,0.330,0.372,0.058
2,0.331,0.377,0.058
2,0.328,0.373,0.058
2,0.323,0.378,0.056
2,0.327,0.376,0.060
2,0.323,0.370,0.055
2,0.330,0.367,0.058
2,0.329,0.380,0.058
2,0.330,0.378,0.057
2,0.335,0.376,0.059
2,0.331,0.377,0.057
2,0.326,0.380,0.057
2,0.323,0.384,0.058
2,0.322,0.362,0.056
2,0.323,0.404,0.057
2,0.329,0.371,0.058
2,0.327,0.375,0.057
2,0.316,0.384,0.056
2,0.323,0.367,0.057
2,0.325,0.382,0.056
2,0.324,0.371,0.057
2,0.326,0.376,0.058
2,0.326,0.383,0.059
2,0.331,0.372,0.058
2,0.321,0.380,0.057
2,0.326,0.369,0.057
2,0.323,0.380,0.058
2,0.328,0.392,0.058
2,0.326,0.367,0.061
2,0.330,0.371,0.058
2,0.323,0.379,0.057
2,0.324,0.370,0.059
2,0.324,0.369,0.057
2,0.324,0.372,0.056
2,0.328,0.384,0.058
2,0.331,0.377,0.060
2,0.325,0.377,0.059
2,0.322,0.375,0.056
2,0.323,0.372,0.058
2,0.329,0.382,0.058
2,0.329,0.377,0.056
2,0.328,0.371,0.057
2,0.327,0.367,0.059
2,0.332,0.374,0.058
2,0.329,0.386,0.059
2,0.322,0.372,0.057
2,0.321,0.376,0.057
2,0.326,0.372,0.059
2,0.327,0.374,0.057
2,0.325,0.377,0.057
2,0.323,0.380,0.057
2,0.328,0.367,0.058
2,0.324,0.377,0.058
2,0.330,0.375,0.059
2,0.331,0.382,0.058
2,0.331,0.377,0.059
2,0.328,0.365,0.058
2,0.327,0.374,0.058
2,0.337,0.367,0.061
2,0.320,0.372,0.059
2,0.334,0.371,0.060
2,0.328,0.375,0.057
2,0.329,0.374,0.057
2,0.329,0.371,0.058
2,0.327,0.374,0.056
3,0.328,0.470,0.063
3,0.326,0.464,0.066
3,0.324,0.467,0.066
3,0.323,0.468,0.065
3,0.327,0.475,0.063
3,0.333,0.465,0.067
3,0.333,0.462,0.064
3,0.327,0.466,0.064
3,0.330,0.468,0.064
3,0.329,0.462,0.065
3,0.332,0.462,0.063
3,0.326,0.462,0.065
3,0.325,0.465,0.063
3,0.331,0.463,0.063
3,0.328,0.480,0.063
3,0.325,0.466,0.065
3,0.327,0.461,0.064
3,0.332,0.474,0.065
3,0.330,0.462,0.064
3,0.329,0.469,0.064
3,0.334,0.467,0.065
3,0.326,0.467,0.062
3,0.332,0.472,0.065
3,0.331,0.462,0.063
3,0.324,0.462,0.063
3,0.327,0.462,0.064
3,0.329,0.463,0.065
3,0.324,0.472,0.065
3,0.325,0.463,0.062
3,0.326,0.474,0.064
3,0.321,0.463,0.062
3,0.330,0.465,0.064
3,0.335,0.467,0.065
3,0.327,0.467,0.064
3,0.326,0.459,0.063
3,0.326,0.465,0.063
3,0.322,0.457,0.062
3,0.329,0.456,0.062
3,0.331,0.465,0.063
3,0.323,0.458,0.065
3,0.325,0.461,0.063
3,0.331,0.457,0.067
3,0.328,0.459,0.062
3,0.325,0.464,0.062
3,0.327,0.467,0.064
3,0.328,0.465,0.063
3,0.326,0.465,0.063
3,0.324,0.462,0.062
3,0.328,0.463,0.063
3,0.332,0.467,0.062
3,0.324,0.466,0.063
3,0.335,0.482,0.066
3,0.331,0.472,0.063
3,0.328,0.461,0.062
3,0.329,0.464,0.063
3,0.330,0.457,0.063
3,0.325,0.458,0.063
3,0.332,0.474,0.065
3,0.327,0.461,0.062
3,0.325,0.461,0.063
3,0.325,0.460,0.064
3,0.334,0.468,0.067
3,0.324,0.462,0.063
3,0.339,0.467,0.066
3,0.328,0.459,0.065
3,0.326,0.458,0.065
3,0.328,0.471,0.063
3,0.334,0.480,0.066
3,0.324,0.463,0.063
3,0.327,0.464,0.064
3,0.331,0.463,0.064
3,0.332,0.460,0.064
3,0.326,0.467,0.063
3,0.338,0.472,0.066
3,0.333,0.469,0.067
3,0.325,0.471,0.062
3,0.326,0.460,0.062
3,0.325,0.470,0.062
3,0.333,0.456,0.066
3,0.331,0.468,0.066
3,0.328,0.466,0.064
3,0.337,0.470,0.063
3,0.335,0.475,0.065
3,0.321,0.463,0.062
3,0.325,0.461,0.063
3,0.331,0.473,0.063
3,0.328,0.466,0.064
3,0.329,0.465,0.064
3,0.326,0.470,0.063
3,0.326,0.478,0.065
3,0.334,0.463,0.065
3,0.327,0.469,0.063
3,0.323,0.466,0.061
3,0.328,0.463,0.062
3,0.330,0.461,0.064
3,0.326,0.466,0.063
3,0.333,0.460,0.066
3,0.327,0.473,0.063
3,0.328,0.461,0.062
3,0.330,0.467,0.066
4,0.326,0.484,0.069
4,0.329,0.484,0.068
4,0.329,0.489,0.068
4,0.332,0.483,0.070
4,0.333,0.464,0.069
4,0.332,0.483,0.071
4,0.330,0.481,0.071
4,0.327,0.475,0.069
4,0.332,0.484,0.070
4,0.328,0.481,0.071
4,0.330,0.488,0.071
4,0.328,0.488,0.071
4,0.328,0.485,0.068
4,0.332,0.481,0.073
4,0.330,0.481,0.072
4,0.328,0.484,0.070
4,0.329,0.484,0.072
4,0.331,0.486,0.070
4,0.333,0.480,0.069
4,0.327,0.481,0.070
4,0.335,0.490,0.070
4,0.328,0.492,0.069
4,0.330,0.477,0.068
4,0.327,0.490,0.067
4,0.327,0.477,0.069
4,0.330,0.488,0.068
4,0.327,0.479,0.069
4,0.332,0.481,0.069
4,0.337,0.487,0.072
4,0.330,0.488,0.068
4,0.338,0.483,0.071
4,0.326,0.485,0.068
4,0.335,0.478,0.072
4,0.326,0.490,0.068
4,0.335,0.474,0.070
4,0.328,0.491,0.069
4,0.327,0.483,0.068
4,0.334,0.480,0.071
4,0.329,0.489,0.068
4,0.333,0.480,0.069
4,0.336,0.482,0.073
4,0.335,0.499,0.070
4,0.344,0.494,0.072
4,0.362,0.495,0.079
4,0.332,0.489,0.070
4,0.328,0.488,0.070
4,0.329,0.488,0.068
4,0.332,0.483,0.072
4,0.330,0.493,0.070
4,0.336,0.485,0.070
