Threads,CpuTime,UserTime,SystemTime
1,2.216,2.176,0.028
1,2.209,2.172,0.035
1,2.215,2.186,0.027
1,2.196,2.162,0.032
1,2.210,2.180,0.028
1,2.189,2.163,0.025
1,2.205,2.167,0.037
1,2.203,2.160,0.041
1,2.189,2.162,0.025
1,2.209,2.180,0.028
2,1.158,2.190,0.016
2,1.157,2.171,0.032
2,1.149,2.155,0.032
2,1.159,2.184,0.023
2,1.164,2.188,0.025
2,1.163,2.189,0.025
2,1.149,2.171,0.017
2,1.146,2.152,0.029
2,1.162,2.171,0.040
2,1.152,2.167,0.025
3,0.808,2.161,0.044
3,0.823,2.197,0.037
3,0.819,2.197,0.040
3,0.807,2.164,0.032
3,0.809,2.162,0.036
3,0.811,2.158,0.048
3,0.815,2.193,0.028
3,0.812,2.166,0.037
3,0.813,2.178,0.040
3,0.812,2.193,0.025
4,1.157,2.161,0.047
4,1.161,2.195,0.023
4,1.153,2.168,0.039
4,1.156,2.165,0.038
4,1.153,2.159,0.034
4,1.168,2.201,0.029
4,1.147,2.152,0.033
4,1.162,2.176,0.043
4,1.160,2.172,0.042
4,1.165,2.183,0.047
5,0.966,2.194,0.062
5,0.952,2.174,0.044
5,0.938,2.148,0.046
5,0.941,2.150,0.048
5,0.936,2.151,0.034
5,0.947,2.167,0.039
5,0.944,2.156,0.043
5,0.942,2.162,0.032
5,0.945,2.179,0.030
5,0.966,2.209,0.050
6,0.812,2.182,0.038
6,0.813,2.196,0.037
6,0.812,2.170,0.032
6,0.814,2.192,0.034
6,0.810,2.154,0.060
6,0.814,2.184,0.038
6,0.806,2.156,0.043
6,0.813,2.182,0.035
6,0.813,2.158,0.050
6,0.807,2.152,0.048
7,1.029,2.230,0.034
7,0.997,2.138,0.059
7,1.000,2.162,0.034
7,1.017,2.182,0.061
7,1.017,2.189,0.044
7,1.003,2.155,0.044
7,1.012,2.172,0.048
7,1.011,2.176,0.052
7,1.017,2.191,0.040
7,1.020,2.174,0.070
8,1.161,2.173,0.067
8,1.154,2.166,0.039
8,1.168,2.203,0.049
8,1.157,2.168,0.048
8,1.161,2.185,0.031
8,1.163,2.188,0.052
8,1.148,2.166,0.045
8,1.161,2.173,0.053
8,1.168,2.188,0.056
8,1.149,2.165,0.042
