Threads,CpuTime,UserTime,SystemTime
1,0.435,0.357,0.058
1,0.436,0.359,0.059
1,0.427,0.349,0.057
1,0.462,0.393,0.063
1,0.431,0.373,0.057
1,0.438,0.358,0.056
1,0.421,0.350,0.053
1,0.436,0.354,0.057
1,0.429,0.348,0.056
1,0.433,0.346,0.055
1,0.425,0.351,0.055
1,0.428,0.343,0.054
1,0.428,0.365,0.057
1,0.430,0.346,0.056
1,0.435,0.354,0.056
1,0.440,0.362,0.057
1,0.434,0.358,0.057
1,0.427,0.358,0.056
1,0.427,0.351,0.055
1,0.424,0.347,0.054
1,0.427,0.348,0.053
1,0.423,0.336,0.054
1,0.428,0.346,0.055
1,0.430,0.342,0.054
1,0.422,0.345,0.052
1,0.439,0.341,0.058
1,0.435,0.354,0.060
1,0.429,0.351,0.055
1,0.426,0.346,0.052
1,0.431,0.343,0.055
1,0.428,0.340,0.054
1,0.427,0.343,0.053
1,0.428,0.349,0.055
1,0.429,0.342,0.053
1,0.429,0.348,0.053
1,0.430,0.336,0.054
1,0.431,0.346,0.054
1,0.423,0.341,0.054
1,0.426,0.349,0.052
1,0.432,0.364,0.059
1,0.429,0.346,0.054
1,0.419,0.352,0.054
1,0.427,0.342,0.053
1,0.428,0.345,0.054
1,0.432,0.341,0.056
1,0.430,0.354,0.056
1,0.423,0.347,0.054
1,0.423,0.344,0.052
1,0.429,0.345,0.056
1,0.432,0.369,0.054
1,0.429,0.345,0.055
1,0.428,0.349,0.054
1,0.440,0.351,0.060
1,0.432,0.350,0.055
1,0.424,0.346,0.051
1,0.431,0.343,0.057
1,0.429,0.355,0.056
1,0.439,0.346,0.056
1,0.426,0.348,0.055
1,0.428,0.362,0.057
1,0.431,0.351,0.053
1,0.427,0.339,0.055
1,0.428,0.350,0.056
1,0.430,0.346,0.053
1,0.429,0.343,0.056
1,0.428,0.337,0.053
1,0.425,0.347,0.054
1,0.433,0.350,0.060
1,0.460,0.376,0.067
1,0.431,0.351,0.056
1,0.431,0.343,0.055
1,0.528,0.405,0.059
1,0.429,0.361,0.057
1,0.436,0.384,0.057
1,0.425,0.345,0.053
1,0.423,0.347,0.056
1,0.452,0.385,0.067
1,0.429,0.348,0.059
1,0.431,0.354,0.058
1,0.429,0.347,0.057
1,0.428,0.346,0.055
1,0.441,0.363,0.061
1,0.434,0.360,0.057
1,0.424,0.350,0.055
1,0.426,0.351,0.054
1,0.436,0.344,0.058
1,0.428,0.346,0.052
1,0.452,0.362,0.058
1,0.428,0.346,0.054
1,0.428,0.354,0.054
1,0.429,0.345,0.052
1,0.430,0.342,0.055
1,0.427,0.342,0.051
1,0.428,0.338,0.053
1,0.429,0.338,0.052
1,0.426,0.331,0.052
1,0.417,0.334,0.051
1,0.429,0.344,0.054
1,0.416,0.334,0.051
1,0.428,0.337,0.052
2,0.325,0.448,0.057
2,0.324,0.452,0.055
2,0.318,0.438,0.055
2,0.320,0.456,0.056
2,0.320,0.440,0.054
2,0.327,0.447,0.056
2,0.323,0.451,0.055
2,0.321,0.446,0.056
2,0.324,0.450,0.054
2,0.329,0.460,0.060
2,0.454,0.480,0.068
2,0.356,0.477,0.066
2,0.449,0.483,0.067
2,0.431,0.476,0.060
2,0.334,0.457,0.061
2,0.430,0.484,0.060
2,0.452,0.454,0.061
2,0.439,0.482,0.063
2,0.327,0.457,0.058
2,0.333,0.450,0.060
2,0.439,0.480,0.064
2,0.325,0.448,0.058
2,0.323,0.452,0.055
2,0.450,0.465,0.064
2,0.323,0.436,0.056
2,0.338,0.469,0.062
2,0.333,0.454,0.060
2,0.325,0.456,0.057
2,0.324,0.445,0.056
2,0.324,0.431,0.056
2,0.322,0.462,0.056
2,0.322,0.444,0.055
2,0.326,0.462,0.059
2,0.319,0.451,0.057
2,0.325,0.458,0.055
2,0.321,0.454,0.054
2,0.318,0.448,0.056
2,0.321,0.456,0.056
2,0.321,0.453,0.055
2,0.329,0.447,0.059
2,0.326,0.445,0.055
2,0.322,0.448,0.055
2,0.323,0.453,0.057
2,0.319,0.438,0.055
2,0.317,0.455,0.054
2,0.328,0.461,0.058
2,0.323,0.454,0.055
2,0.324,0.458,0.057
2,0.426,0.485,0.060
2,0.431,0.465,0.061
2,0.438,0.471,0.060
2,0.324,0.444,0.056
2,0.325,0.459,0.056
2,0.334,0.454,0.061
2,0.429,0.479,0.060
2,0.428,0.466,0.059
2,0.326,0.464,0.057
2,0.326,0.458,0.059
2,0.326,0.456,0.058
2,0.320,0.448,0.056
2,0.430,0.475,0.059
2,0.450,0.480,0.066
2,0.438,0.493,0.064
2,0.337,0.462,0.064
2,0.436,0.478,0.060
2,0.433,0.470,0.060
2,0.441,0.472,0.062
2,0.367,0.471,0.072
2,0.335,0.460,0.062
2,0.322,0.450,0.058
2,0.429,0.494,0.061
2,0.321,0.463,0.055
2,0.328,0.445,0.057
2,0.323,0.444,0.055
2,0.321,0.441,0.054
2,0.316,0.448,0.055
2,0.417,0.458,0.055
2,0.317,0.450,0.054
2,0.330,0.457,0.057
2,0.319,0.442,0.053
2,0.327,0.452,0.058
2,0.326,0.467,0.058
2,0.325,0.443,0.055
2,0.324,0.449,0.057
2,0.437,0.448,0.064
2,0.319,0.453,0.054
2,0.329,0.441,0.057
2,0.335,0.443,0.060
2,0.336,0.465,0.059
2,0.327,0.462,0.060
2,0.331,0.462,0.060
2,0.429,0.470,0.060
2,0.324,0.452,0.055
2,0.319,0.445,0.055
