Threads,CpuTime,UserTime,SystemTime
1,0.830,0.715,0.074
1,0.809,0.724,0.066
1,0.826,0.729,0.069
1,0.806,0.717,0.067
1,0.812,0.718,0.067
1,0.803,0.715,0.067
1,0.786,0.699,0.069
1,0.813,0.721,0.069
1,0.832,0.725,0.074
1,0.837,0.697,0.075
1,0.842,0.725,0.075
1,0.825,0.718,0.072
1,0.848,0.716,0.082
1,0.834,0.728,0.071
1,0.932,0.752,0.090
1,0.936,0.746,0.088
1,0.845,0.729,0.074
1,0.820,0.713,0.072
1,0.823,0.721,0.070
1,0.923,0.748,0.087
1,0.877,0.722,0.089
1,0.841,0.727,0.074
1,0.911,0.750,0.083
1,0.846,0.719,0.078
1,0.831,0.692,0.075
1,0.861,0.737,0.079
1,0.840,0.720,0.077
1,0.927,0.765,0.078
1,0.890,0.749,0.081
1,0.934,0.746,0.086
1,0.871,0.724,0.081
1,0.851,0.710,0.078
1,0.862,0.735,0.074
1,0.888,0.741,0.081
1,0.864,0.730,0.078
1,0.791,0.699,0.061
1,0.842,0.724,0.078
1,0.857,0.722,0.080
1,0.861,0.738,0.074
1,0.863,0.740,0.077
1,1.089,0.793,0.100
1,0.894,0.775,0.078
1,0.845,0.727,0.073
1,0.857,0.729,0.077
1,0.823,0.702,0.077
1,0.831,0.715,0.073
1,0.853,0.741,0.076
1,0.824,0.715,0.068
1,0.850,0.732,0.077
1,0.885,0.730,0.084
1,0.826,0.718,0.074
1,0.818,0.695,0.073
1,0.810,0.714,0.068
1,0.824,0.726,0.071
1,0.867,0.725,0.077
1,0.804,0.703,0.072
1,0.806,0.710,0.065
1,0.835,0.718,0.073
1,0.824,0.726,0.068
1,0.805,0.706,0.071
1,0.823,0.727,0.071
1,0.827,0.725,0.072
1,0.816,0.718,0.070
1,0.847,0.729,0.077
1,0.874,0.748,0.077
1,0.897,0.749,0.082
1,0.885,0.732,0.081
1,0.837,0.731,0.075
1,0.820,0.717,0.072
1,0.846,0.709,0.082
1,0.796,0.681,0.071
1,0.815,0.714,0.071
1,0.813,0.708,0.073
1,0.826,0.718,0.071
1,0.822,0.724,0.071
1,0.800,0.706,0.066
1,0.841,0.743,0.070
1,0.808,0.694,0.077
1,0.883,0.735,0.077
1,0.832,0.719,0.073
1,0.813,0.719,0.070
1,0.819,0.721,0.071
1,0.821,0.728,0.067
1,0.823,0.716,0.073
1,0.829,0.728,0.071
1,0.816,0.704,0.073
1,0.803,0.700,0.072
1,0.824,0.719,0.073
1,0.883,0.741,0.080
1,0.979,0.765,0.098
1,0.987,0.763,0.100
1,0.944,0.758,0.089
1,0.843,0.727,0.077
1,0.814,0.716,0.067
1,0.817,0.720,0.071
1,0.807,0.714,0.068
1,0.802,0.702,0.074
1,0.810,0.712,0.068
1,0.822,0.725,0.071
1,0.809,0.704,0.070
2,0.822,0.725,0.071
2,0.815,0.712,0.072
2,0.816,0.705,0.075
2,0.949,0.744,0.081
2,0.887,0.751,0.079
2,0.813,0.703,0.074
2,0.835,0.721,0.074
2,0.804,0.717,0.064
2,0.825,0.742,0.067
2,0.818,0.728,0.066
2,1.026,0.775,0.106
2,0.879,0.725,0.086
2,0.870,0.744,0.077
2,0.842,0.724,0.075
2,0.825,0.718,0.073
2,0.847,0.721,0.078
2,0.996,0.781,0.096
2,0.832,0.721,0.076
2,0.868,0.729,0.075
2,0.807,0.718,0.070
2,0.803,0.713,0.070
2,0.796,0.715,0.067
2,0.806,0.680,0.075
2,0.830,0.725,0.073
2,0.824,0.712,0.076
2,1.037,0.775,0.103
2,0.850,0.725,0.079
2,0.847,0.722,0.076
2,0.874,0.735,0.079
2,0.911,0.764,0.079
2,0.821,0.711,0.074
2,0.834,0.726,0.074
2,0.832,0.720,0.072
2,0.935,0.738,0.087
2,0.848,0.723,0.074
2,0.867,0.729,0.078
2,0.809,0.707,0.069
2,0.854,0.729,0.075
2,0.831,0.711,0.072
2,0.817,0.721,0.068
2,0.809,0.718,0.067
2,0.836,0.727,0.067
2,0.899,0.744,0.086
2,0.902,0.752,0.087
2,0.833,0.730,0.072
2,0.827,0.731,0.070
2,0.799,0.709,0.067
2,0.808,0.716,0.068
2,0.831,0.723,0.073
2,0.807,0.724,0.066
2,0.793,0.707,0.068
2,0.803,0.700,0.070
2,0.858,0.729,0.078
2,0.880,0.721,0.082
2,0.825,0.699,0.076
2,1.040,0.774,0.097
2,0.972,0.759,0.088
2,1.240,0.780,0.111
2,1.190,0.798,0.111
2,1.098,0.789,0.096
2,0.888,0.766,0.075
2,1.043,0.777,0.092
2,1.142,0.785,0.102
2,1.071,0.793,0.101
2,1.058,0.796,0.098
2,1.178,0.818,0.123
2,1.083,0.805,0.097
2,1.096,0.765,0.091
2,1.032,0.741,0.079
2,0.957,0.752,0.087
2,0.857,0.625,0.081
2,1.209,0.733,0.082
2,0.842,0.718,0.075
2,1.004,0.750,0.084
2,0.949,0.717,0.076
2,0.794,0.689,0.072
2,0.829,0.722,0.071
2,0.823,0.707,0.076
2,0.816,0.723,0.070
2,0.800,0.716,0.067
2,0.823,0.725,0.069
2,0.818,0.704,0.073
2,0.724,0.656,0.059
2,0.752,0.686,0.061
2,0.762,0.700,0.060
2,0.754,0.691,0.059
2,0.754,0.690,0.058
2,0.641,0.579,0.058
2,0.678,0.630,0.045
2,0.749,0.685,0.059
2,0.740,0.676,0.059
2,0.741,0.678,0.060
2,0.742,0.679,0.061
2,0.744,0.679,0.061
2,0.759,0.697,0.058
2,0.753,0.690,0.059
2,0.753,0.689,0.061
2,0.763,0.700,0.060
2,0.748,0.685,0.060
2,0.739,0.675,0.060
3,0.741,0.676,0.060
3,0.746,0.684,0.058
3,0.743,0.680,0.059
3,0.725,0.667,0.055
3,0.731,0.669,0.058
3,0.763,0.699,0.060
3,0.748,0.686,0.057
3,0.745,0.684,0.057
3,0.750,0.688,0.058
3,0.742,0.678,0.060
3,0.757,0.695,0.058
3,0.759,0.698,0.058
3,0.744,0.682,0.059
3,0.761,0.696,0.060
3,0.762,0.693,0.060
3,0.716,0.660,0.051
3,0.750,0.685,0.060
3,0.746,0.683,0.059
3,0.757,0.695,0.059
3,0.758,0.698,0.057
3,0.769,0.703,0.063
3,0.767,0.701,0.062
3,0.760,0.696,0.060
3,0.755,0.693,0.059
3,0.775,0.711,0.060
3,0.760,0.697,0.058
3,0.711,0.648,0.059
3,0.724,0.663,0.058
3,0.755,0.692,0.058
3,0.740,0.678,0.057
3,0.666,0.606,0.058
3,0.722,0.664,0.056
3,0.763,0.700,0.061
3,0.766,0.701,0.060
3,0.727,0.666,0.057
3,0.765,0.702,0.059
3,0.746,0.685,0.060
3,0.754,0.692,0.061
3,0.762,0.698,0.060
3,0.816,0.664,0.068
3,0.874,0.669,0.068
3,0.748,0.684,0.059
3,0.755,0.690,0.060
3,0.753,0.690,0.058
3,0.750,0.687,0.061
3,0.740,0.677,0.060
3,0.756,0.691,0.059
3,0.757,0.692,0.059
3,0.753,0.693,0.056
3,0.747,0.685,0.058
3,0.750,0.688,0.058
3,0.739,0.675,0.059
3,0.754,0.691,0.060
3,0.755,0.691,0.062
3,0.725,0.663,0.059
3,0.751,0.687,0.061
3,0.754,0.692,0.061
3,0.738,0.676,0.060
3,0.770,0.709,0.058
3,0.739,0.676,0.059
3,0.749,0.686,0.059
3,0.741,0.678,0.059
3,0.746,0.685,0.058
3,0.726,0.664,0.060
3,0.766,0.695,0.059
3,0.791,0.725,0.063
3,0.730,0.667,0.058
3,0.748,0.688,0.057
3,0.746,0.684,0.058
3,0.763,0.700,0.059
3,0.738,0.676,0.060
3,0.763,0.698,0.062
3,0.749,0.687,0.059
3,0.747,0.682,0.059
3,0.751,0.685,0.060
3,0.743,0.680,0.059
3,0.752,0.689,0.060
3,0.731,0.670,0.058
3,0.759,0.696,0.060
