Threads,CpuTime,UserTime,SystemTime
1,0.502,0.422,0.056
1,0.447,0.399,0.048
1,0.452,0.402,0.049
1,0.452,0.404,0.051
1,0.444,0.399,0.048
1,0.445,0.400,0.044
1,0.440,0.394,0.046
1,0.444,0.398,0.045
1,0.457,0.410,0.045
1,0.473,0.420,0.052
2,0.463,0.410,0.052
2,0.553,0.476,0.056
2,0.477,0.423,0.060
2,0.464,0.410,0.053
2,0.472,0.419,0.052
2,0.483,0.428,0.062
2,0.460,0.406,0.053
2,0.474,0.422,0.061
2,0.447,0.399,0.047
2,0.446,0.399,0.044
3,0.468,0.416,0.060
3,0.443,0.398,0.047
3,0.552,0.486,0.079
3,0.535,0.467,0.062
3,0.523,0.475,0.046
3,0.455,0.408,0.049
3,0.464,0.414,0.053
3,0.469,0.418,0.054
3,0.509,0.445,0.064
3,0.472,0.416,0.055
4,0.491,0.432,0.052
4,0.452,0.402,0.053
4,0.465,0.417,0.055
4,0.481,0.429,0.076
4,0.506,0.454,0.064
4,0.472,0.415,0.062
4,0.470,0.419,0.058
4,0.474,0.420,0.060
4,0.490,0.434,0.068
4,0.461,0.409,0.052
5,0.470,0.419,0.050
5,0.525,0.454,0.063
5,0.486,0.431,0.058
5,0.475,0.421,0.059
5,0.470,0.416,0.055
5,0.497,0.435,0.070
5,0.474,0.422,0.059
5,0.470,0.419,0.056
5,0.475,0.421,0.059
5,0.483,0.428,0.065
6,0.469,0.420,0.053
6,0.456,0.408,0.051
6,0.452,0.405,0.051
6,0.471,0.422,0.057
6,0.476,0.427,0.056
6,0.456,0.408,0.047
6,0.498,0.440,0.070
6,0.463,0.413,0.054
6,0.469,0.417,0.057
6,0.464,0.410,0.054
7,0.447,0.399,0.049
7,0.472,0.422,0.057
7,0.494,0.435,0.058
7,0.589,0.494,0.060
7,0.479,0.422,0.052
7,0.490,0.432,0.059
7,0.581,0.502,0.065
7,0.488,0.432,0.053
7,0.492,0.438,0.058
7,0.539,0.454,0.055
8,0.467,0.415,0.053
8,0.485,0.432,0.068
8,0.468,0.417,0.058
8,0.491,0.439,0.071
8,0.522,0.458,0.055
8,0.463,0.412,0.060
8,0.486,0.434,0.066
8,0.491,0.439,0.073
8,0.479,0.425,0.068
8,0.478,0.426,0.073
