Threads,CpuTime,UserTime,SystemTime
1,2.187,2.163,0.021
1,2.234,2.205,0.028
1,2.180,2.150,0.029
1,2.194,2.169,0.023
1,2.223,2.201,0.020
1,2.230,2.205,0.024
1,2.199,2.161,0.036
1,2.204,2.157,0.046
1,2.200,2.174,0.024
1,2.187,2.156,0.029
2,1.148,2.153,0.028
2,1.142,2.141,0.028
2,1.157,2.164,0.033
2,1.162,2.182,0.028
2,1.160,2.154,0.046
2,1.166,2.170,0.049
2,1.164,2.172,0.042
2,1.154,2.168,0.028
2,1.150,2.143,0.040
2,1.146,2.143,0.033
3,0.807,2.166,0.033
3,0.803,2.159,0.028
3,0.814,2.184,0.031
3,0.833,2.224,0.045
3,0.809,2.165,0.036
3,0.813,2.149,0.064
3,0.814,2.181,0.036
3,0.812,2.167,0.043
3,0.815,2.182,0.036
3,0.807,2.152,0.036
4,1.164,2.191,0.034
4,1.150,2.139,0.049
4,1.161,2.175,0.039
4,1.150,2.149,0.042
4,1.155,2.183,0.023
4,1.150,2.172,0.023
4,1.158,2.163,0.046
4,1.148,2.150,0.038
4,1.160,2.191,0.026
4,1.155,2.175,0.030
5,0.958,2.202,0.030
5,0.950,2.170,0.030
5,0.954,2.191,0.035
5,0.943,2.160,0.044
5,0.946,2.145,0.062
5,0.939,2.156,0.034
5,0.949,2.177,0.042
5,0.957,2.163,0.054
5,0.950,2.169,0.045
5,0.947,2.172,0.039
6,0.807,2.171,0.035
6,0.809,2.161,0.038
6,0.814,2.184,0.033
6,0.815,2.177,0.046
6,0.827,2.229,0.027
6,0.801,2.161,0.035
6,0.809,2.178,0.028
6,0.809,2.167,0.046
6,0.805,2.133,0.067
6,0.816,2.175,0.061
7,0.998,2.153,0.043
7,1.016,2.200,0.035
7,1.004,2.151,0.050
7,1.005,2.142,0.061
7,1.003,2.167,0.031
7,1.002,2.174,0.036
7,1.012,2.178,0.053
7,1.004,2.152,0.059
7,1.006,2.172,0.043
7,1.016,2.186,0.045
8,1.161,2.160,0.066
8,1.167,2.200,0.039
8,1.171,2.197,0.056
8,1.155,2.173,0.038
8,1.160,2.174,0.051
8,1.148,2.186,0.030
8,1.165,2.192,0.036
8,1.171,2.193,0.047
8,1.161,2.181,0.060
8,1.158,2.174,0.048
