Threads,CpuTime,UserTime,SystemTime
1,1.512,0.398,0.061
1,0.452,0.401,0.046
1,0.446,0.399,0.045
1,0.456,0.409,0.046
1,0.465,0.415,0.052
1,0.463,0.412,0.049
1,0.519,0.447,0.053
1,0.470,0.423,0.045
1,0.455,0.405,0.046
1,0.460,0.410,0.049
2,0.505,0.439,0.066
2,0.528,0.473,0.062
2,0.482,0.428,0.057
2,0.468,0.420,0.051
2,0.483,0.425,0.049
2,0.470,0.417,0.049
2,0.488,0.425,0.054
2,0.452,0.406,0.046
2,0.469,0.420,0.052
2,0.440,0.393,0.045
3,0.466,0.415,0.053
3,0.461,0.413,0.053
3,0.468,0.414,0.052
3,0.507,0.446,0.087
3,0.485,0.434,0.059
3,0.472,0.420,0.061
3,0.467,0.414,0.055
3,0.459,0.410,0.058
3,0.483,0.425,0.062
3,0.476,0.423,0.055
4,0.472,0.418,0.061
4,0.497,0.445,0.067
4,0.452,0.405,0.050
4,0.470,0.420,0.058
4,0.451,0.403,0.051
4,0.468,0.420,0.055
4,0.457,0.404,0.054
4,0.450,0.402,0.050
4,0.461,0.412,0.057
4,0.488,0.435,0.063
5,0.476,0.423,0.065
5,0.474,0.417,0.065
5,0.466,0.415,0.061
5,0.461,0.411,0.056
5,0.470,0.417,0.060
5,0.483,0.431,0.072
5,0.479,0.425,0.073
5,0.469,0.419,0.062
5,0.465,0.416,0.056
5,0.442,0.397,0.048
6,0.468,0.416,0.066
6,0.513,0.453,0.093
6,0.482,0.430,0.064
6,0.453,0.403,0.053
6,0.481,0.427,0.074
6,0.467,0.416,0.058
6,0.480,0.429,0.067
6,0.450,0.404,0.050
6,0.448,0.401,0.048
6,0.470,0.418,0.055
7,0.500,0.443,0.077
7,0.489,0.437,0.063
7,0.486,0.432,0.068
7,0.515,0.458,0.097
7,0.460,0.410,0.054
7,0.464,0.409,0.053
7,0.464,0.416,0.059
7,0.472,0.420,0.069
7,0.448,0.398,0.052
7,0.444,0.397,0.053
8,0.514,0.456,0.072
8,0.474,0.421,0.058
8,0.476,0.423,0.064
8,0.458,0.408,0.054
8,0.469,0.417,0.049
8,0.499,0.444,0.071
8,0.501,0.444,0.084
8,0.468,0.417,0.059
8,0.469,0.419,0.060
8,0.495,0.441,0.060
