Threads,CpuTime,UserTime,SystemTime
1,0.500,0.419,0.048
1,0.473,0.423,0.053
1,0.465,0.414,0.050
1,0.480,0.424,0.053
1,0.514,0.416,0.050
1,0.532,0.461,0.057
1,0.464,0.412,0.046
1,0.456,0.408,0.054
1,0.455,0.407,0.050
1,0.453,0.403,0.054
1,0.458,0.408,0.049
1,0.453,0.404,0.048
1,0.454,0.408,0.045
1,0.466,0.417,0.052
1,0.450,0.403,0.043
1,0.450,0.401,0.046
1,0.452,0.404,0.048
1,0.449,0.402,0.044
1,0.451,0.403,0.046
1,0.474,0.424,0.046
1,0.571,0.485,0.060
1,0.499,0.440,0.046
1,0.492,0.436,0.046
1,0.469,0.416,0.051
1,0.480,0.428,0.050
1,0.458,0.409,0.045
1,0.454,0.406,0.045
1,0.459,0.410,0.046
1,0.455,0.406,0.047
1,0.453,0.408,0.044
1,0.466,0.414,0.054
1,0.449,0.402,0.049
1,0.466,0.416,0.044
1,0.443,0.398,0.042
1,0.456,0.405,0.047
1,0.465,0.413,0.051
1,0.459,0.410,0.048
1,0.448,0.400,0.047
1,0.453,0.405,0.045
1,0.495,0.439,0.047
1,0.468,0.418,0.057
1,0.454,0.407,0.047
1,0.447,0.402,0.044
1,0.465,0.416,0.044
1,0.453,0.402,0.048
1,0.508,0.447,0.062
1,0.524,0.450,0.065
1,0.487,0.429,0.060
1,0.473,0.417,0.055
1,0.462,0.416,0.046
2,0.454,0.406,0.049
2,0.456,0.407,0.048
2,0.449,0.400,0.045
2,0.459,0.410,0.050
2,0.459,0.411,0.051
2,0.454,0.406,0.047
2,0.456,0.407,0.052
2,0.460,0.411,0.052
2,0.458,0.410,0.050
2,0.459,0.413,0.053
2,0.449,0.403,0.046
2,0.478,0.426,0.069
2,0.444,0.397,0.046
2,0.440,0.395,0.044
2,0.487,0.432,0.069
2,0.445,0.398,0.045
2,0.463,0.414,0.052
2,0.498,0.441,0.057
2,0.487,0.430,0.049
2,0.450,0.402,0.046
2,0.511,0.455,0.055
2,0.452,0.404,0.053
2,0.456,0.410,0.047
2,0.476,0.425,0.046
2,0.622,0.513,0.049
2,0.487,0.431,0.054
2,0.460,0.411,0.050
2,0.475,0.424,0.054
2,0.458,0.410,0.048
2,0.453,0.407,0.045
2,0.447,0.399,0.047
2,0.477,0.427,0.052
2,0.457,0.408,0.050
2,0.466,0.416,0.050
2,0.460,0.411,0.054
2,0.464,0.415,0.055
2,0.474,0.421,0.051
2,0.487,0.429,0.061
2,0.515,0.459,0.072
2,0.472,0.421,0.054
2,0.451,0.405,0.045
2,0.469,0.419,0.055
2,0.518,0.453,0.051
2,0.468,0.420,0.048
2,0.456,0.405,0.049
2,0.488,0.432,0.047
2,0.464,0.415,0.049
2,0.468,0.413,0.053
2,0.463,0.414,0.053
2,0.456,0.407,0.047
3,0.480,0.424,0.065
3,0.459,0.409,0.050
3,0.469,0.418,0.061
3,0.475,0.426,0.054
3,0.465,0.415,0.050
3,0.482,0.427,0.058
3,0.485,0.431,0.049
3,0.466,0.413,0.051
3,0.460,0.412,0.051
3,0.466,0.415,0.051
3,0.469,0.414,0.054
3,0.475,0.424,0.056
3,0.489,0.430,0.063
3,0.509,0.450,0.072
3,0.571,0.485,0.071
3,0.566,0.490,0.060
3,0.471,0.419,0.049
3,0.516,0.452,0.055
3,0.466,0.416,0.048
3,0.500,0.441,0.069
3,0.474,0.416,0.060
3,0.491,0.434,0.061
3,0.479,0.426,0.055
3,0.477,0.422,0.053
3,0.477,0.424,0.052
3,0.488,0.430,0.058
3,0.463,0.410,0.051
3,0.495,0.434,0.051
3,0.495,0.434,0.064
3,0.476,0.425,0.048
3,0.536,0.468,0.058
3,0.478,0.426,0.053
3,0.469,0.416,0.054
3,0.527,0.464,0.049
3,0.466,0.415,0.051
3,0.476,0.422,0.053
3,0.459,0.410,0.048
3,0.484,0.431,0.053
3,0.518,0.457,0.067
3,0.494,0.441,0.059
3,0.464,0.416,0.048
3,0.480,0.427,0.050
3,0.493,0.433,0.066
3,0.484,0.431,0.051
3,0.450,0.404,0.047
3,0.485,0.431,0.075
3,0.474,0.419,0.063
3,0.453,0.406,0.051
3,0.464,0.415,0.057
