Threads,CpuTime,UserTime,SystemTime
1,2.192,2.169,0.020
1,2.181,2.162,0.017
1,2.191,2.157,0.032
1,2.202,2.165,0.036
1,2.217,2.180,0.036
1,2.228,2.202,0.024
1,2.203,2.185,0.016
1,2.231,2.196,0.033
1,2.207,2.190,0.016
1,2.193,2.163,0.028
2,1.154,2.175,0.016
2,1.151,2.151,0.036
2,1.141,2.145,0.025
2,1.153,2.166,0.025
2,1.149,2.158,0.029
2,1.144,2.144,0.033
2,1.138,2.146,0.020
2,1.175,2.214,0.025
2,1.163,2.178,0.032
2,1.146,2.146,0.032
3,0.806,2.156,0.035
3,0.806,2.154,0.044
3,0.806,2.166,0.033
3,0.809,2.184,0.016
3,0.809,2.164,0.032
3,0.817,2.197,0.021
3,0.813,2.174,0.040
3,0.812,2.173,0.036
3,0.809,2.177,0.024
3,0.807,2.168,0.025
4,1.149,2.152,0.039
4,1.163,2.191,0.030
4,1.181,2.210,0.051
4,1.168,2.166,0.055
4,1.175,2.220,0.027
4,1.171,2.207,0.031
4,1.159,2.187,0.031
4,1.155,2.148,0.050
4,1.158,2.170,0.039
4,1.158,2.152,0.059
5,0.946,2.172,0.041
5,0.938,2.154,0.037
5,0.945,2.169,0.034
5,0.946,2.169,0.035
5,0.946,2.151,0.048
5,0.942,2.147,0.043
5,0.951,2.170,0.047
5,0.948,2.137,0.055
5,0.947,2.160,0.042
5,0.958,2.200,0.036
6,0.806,2.166,0.038
6,0.806,2.153,0.054
6,0.802,2.139,0.059
6,0.826,2.217,0.037
6,0.810,2.182,0.038
6,0.822,2.194,0.062
6,0.805,2.155,0.042
6,0.811,2.174,0.045
6,0.809,2.169,0.041
6,0.805,2.155,0.045
7,1.014,2.188,0.045
7,1.004,2.149,0.053
7,1.012,2.173,0.050
7,1.010,2.175,0.046
7,1.003,2.166,0.040
7,1.005,2.167,0.033
7,1.003,2.156,0.042
7,1.012,2.181,0.045
7,1.004,2.161,0.052
7,1.014,2.173,0.052
8,1.175,2.222,0.038
8,1.151,2.160,0.049
8,1.161,2.175,0.053
8,1.159,2.169,0.057
8,1.162,2.184,0.037
8,1.177,2.210,0.039
8,1.166,2.193,0.042
8,1.159,2.166,0.068
8,1.162,2.178,0.057
8,1.149,2.154,0.050
