Threads,CpuTime,UserTime,SystemTime
1,2.219,2.185,0.032
1,2.185,2.159,0.025
1,2.188,2.158,0.028
1,2.191,2.154,0.036
1,2.195,2.173,0.020
1,2.217,2.190,0.025
1,2.213,2.187,0.025
1,2.201,2.163,0.037
1,2.174,2.137,0.036
1,2.185,2.159,0.025
2,1.138,2.141,0.021
2,1.143,2.145,0.028
2,1.157,2.164,0.028
2,1.138,2.142,0.021
2,1.146,2.157,0.021
2,1.162,2.176,0.032
2,1.157,2.165,0.036
2,1.155,2.171,0.028
2,1.156,2.169,0.032
2,1.156,2.174,0.028
3,0.805,2.140,0.041
3,0.802,2.150,0.029
3,0.804,2.151,0.036
3,0.810,2.168,0.041
3,0.806,2.154,0.032
3,0.803,2.127,0.051
3,0.806,2.157,0.028
3,0.811,2.158,0.055
3,0.800,2.155,0.024
3,0.812,2.185,0.025
4,1.159,2.189,0.025
4,1.166,2.174,0.053
4,1.153,2.164,0.038
4,1.148,2.151,0.039
4,1.148,2.152,0.033
4,1.170,2.201,0.030
4,1.144,2.137,0.041
4,1.164,2.187,0.026
4,1.147,2.146,0.041
4,1.146,2.145,0.043
5,0.955,2.209,0.021
5,0.958,2.189,0.049
5,0.946,2.171,0.042
5,0.943,2.158,0.042
5,0.968,2.211,0.039
5,0.945,2.150,0.046
5,0.951,2.163,0.063
5,0.939,2.148,0.045
5,0.970,2.213,0.039
5,0.953,2.200,0.026
6,0.811,2.171,0.053
6,0.798,2.144,0.035
6,0.805,2.161,0.035
6,0.818,2.190,0.047
6,0.804,2.165,0.031
6,0.814,2.167,0.053
6,0.817,2.171,0.043
6,0.812,2.207,0.019
6,0.815,2.177,0.049
6,0.811,2.139,0.052
7,1.004,2.161,0.045
7,0.998,2.159,0.037
7,1.000,2.155,0.035
7,1.021,2.220,0.034
7,1.002,2.163,0.039
7,0.997,2.169,0.023
7,0.994,2.150,0.040
7,1.006,2.162,0.050
7,1.006,2.180,0.027
7,1.011,2.191,0.033
8,1.151,2.145,0.065
8,1.154,2.162,0.054
8,1.174,2.217,0.034
8,1.162,2.190,0.045
8,1.152,2.158,0.055
8,1.159,2.172,0.052
8,1.156,2.159,0.057
8,1.172,2.187,0.064
8,1.183,2.172,0.048
8,1.162,2.195,0.039
