Threads,CpuTime,UserTime,SystemTime
1,1.532,0.409,0.065
1,0.451,0.402,0.051
1,0.445,0.397,0.052
1,0.445,0.397,0.047
1,0.447,0.400,0.045
1,0.444,0.397,0.047
1,0.448,0.402,0.046
1,0.455,0.403,0.054
1,0.450,0.402,0.051
1,0.494,0.447,0.046
2,0.585,0.493,0.062
2,0.460,0.409,0.049
2,0.467,0.418,0.050
2,0.450,0.402,0.051
2,0.467,0.416,0.057
2,0.474,0.421,0.055
2,0.448,0.400,0.049
2,0.468,0.412,0.057
2,0.449,0.403,0.051
2,0.470,0.421,0.052
3,0.459,0.411,0.056
3,0.468,0.419,0.048
3,0.478,0.426,0.061
3,0.472,0.423,0.048
3,0.456,0.407,0.051
3,0.492,0.438,0.071
3,0.453,0.408,0.048
3,0.476,0.428,0.051
3,0.478,0.416,0.064
3,0.495,0.439,0.073
4,0.463,0.413,0.059
4,0.459,0.410,0.060
4,0.473,0.420,0.057
4,0.473,0.424,0.057
4,0.463,0.412,0.054
4,0.466,0.411,0.056
4,0.495,0.439,0.070
4,0.461,0.411,0.058
4,0.508,0.450,0.088
4,0.494,0.438,0.083
5,0.470,0.417,0.063
5,0.462,0.410,0.055
5,0.459,0.410,0.058
5,0.453,0.404,0.058
5,0.455,0.407,0.052
5,0.492,0.437,0.081
5,0.498,0.443,0.071
5,0.465,0.410,0.055
5,0.489,0.430,0.065
5,0.454,0.405,0.055
6,0.469,0.419,0.055
6,0.508,0.450,0.073
6,0.510,0.444,0.070
6,0.470,0.419,0.052
6,0.463,0.414,0.058
6,0.478,0.420,0.067
6,0.453,0.406,0.051
6,0.450,0.402,0.048
6,0.478,0.424,0.068
6,0.485,0.432,0.061
7,0.499,0.448,0.067
7,0.468,0.417,0.061
7,0.469,0.418,0.053
7,0.464,0.412,0.061
7,0.473,0.420,0.067
7,0.466,0.415,0.057
7,0.470,0.420,0.061
7,0.484,0.430,0.070
7,0.443,0.397,0.048
7,0.463,0.412,0.063
8,0.477,0.425,0.067
8,0.449,0.402,0.054
8,0.455,0.407,0.056
8,0.462,0.413,0.054
8,0.480,0.424,0.067
8,0.459,0.410,0.060
8,0.465,0.415,0.054
8,0.519,0.460,0.064
8,0.559,0.478,0.053
8,0.459,0.412,0.054
