Threads,CpuTime,UserTime,SystemTime
1,0.453,0.403,0.048
1,0.441,0.397,0.041
1,0.481,0.425,0.051
1,0.461,0.413,0.050
1,0.467,0.416,0.050
1,0.457,0.409,0.045
1,0.474,0.424,0.044
1,0.465,0.413,0.047
1,0.558,0.491,0.051
1,0.500,0.446,0.053
1,0.483,0.424,0.057
1,0.445,0.399,0.049
1,0.535,0.467,0.058
1,0.491,0.428,0.047
1,0.482,0.428,0.064
1,0.441,0.397,0.043
1,0.453,0.408,0.043
1,0.460,0.412,0.047
1,0.514,0.445,0.057
1,0.464,0.418,0.045
1,0.426,0.384,0.038
1,0.448,0.406,0.040
1,0.454,0.409,0.050
1,0.441,0.396,0.042
1,0.468,0.418,0.065
1,0.489,0.428,0.052
1,0.950,0.605,0.073
1,0.549,0.468,0.067
1,0.609,0.464,0.057
1,0.463,0.413,0.050
1,0.457,0.407,0.054
1,0.493,0.439,0.062
1,0.486,0.431,0.058
1,0.444,0.395,0.047
1,0.458,0.403,0.049
1,0.562,0.469,0.055
1,0.552,0.449,0.048
1,0.600,0.508,0.064
1,0.522,0.463,0.048
1,0.515,0.446,0.057
1,0.472,0.419,0.050
1,0.518,0.451,0.052
1,0.522,0.447,0.060
1,0.527,0.460,0.056
1,0.478,0.424,0.050
1,0.521,0.461,0.049
1,0.707,0.627,0.053
1,0.564,0.484,0.061
1,0.483,0.428,0.050
1,0.527,0.453,0.060
1,0.464,0.413,0.046
1,0.483,0.430,0.050
1,0.489,0.430,0.049
1,0.488,0.431,0.055
1,0.499,0.436,0.055
1,0.491,0.428,0.048
1,0.473,0.423,0.049
1,0.481,0.427,0.047
1,0.492,0.439,0.045
1,0.515,0.456,0.048
1,0.746,0.560,0.061
1,0.537,0.423,0.052
1,0.500,0.438,0.056
1,0.493,0.439,0.049
1,0.540,0.466,0.053
1,0.567,0.461,0.051
1,0.494,0.445,0.045
1,0.484,0.428,0.051
1,0.521,0.467,0.060
1,0.507,0.438,0.058
1,0.476,0.411,0.047
1,0.481,0.428,0.044
1,0.466,0.417,0.045
1,0.551,0.482,0.050
1,0.500,0.444,0.051
1,0.477,0.427,0.050
1,0.468,0.420,0.048
1,0.521,0.462,0.071
1,0.499,0.441,0.047
1,0.468,0.415,0.053
1,0.449,0.405,0.043
1,0.457,0.411,0.044
1,0.475,0.428,0.043
1,0.471,0.420,0.043
1,0.479,0.431,0.044
1,0.500,0.443,0.055
1,0.486,0.430,0.047
1,0.522,0.460,0.051
1,0.446,0.403,0.043
1,0.519,0.456,0.048
1,0.498,0.444,0.050
1,0.533,0.460,0.066
1,0.448,0.403,0.044
1,0.446,0.403,0.041
1,0.467,0.418,0.055
1,0.454,0.411,0.044
1,0.446,0.401,0.044
1,0.446,0.403,0.041
1,0.451,0.406,0.045
1,0.444,0.397,0.044
2,0.451,0.405,0.046
2,0.457,0.411,0.051
2,0.447,0.401,0.045
2,0.452,0.406,0.049
2,0.456,0.412,0.043
2,0.502,0.434,0.051
2,0.502,0.442,0.058
2,0.470,0.417,0.051
2,0.542,0.473,0.068
2,0.467,0.411,0.049
2,0.480,0.427,0.050
2,0.477,0.425,0.050
2,0.539,0.456,0.064
2,0.530,0.459,0.059
2,0.471,0.421,0.048
2,0.483,0.424,0.059
2,0.472,0.421,0.055
2,0.485,0.430,0.057
2,0.474,0.422,0.054
2,0.490,0.437,0.056
2,0.460,0.414,0.043
2,0.475,0.422,0.050
2,0.466,0.417,0.050
2,0.500,0.439,0.058
2,0.537,0.455,0.062
2,0.499,0.437,0.056
2,0.480,0.424,0.050
2,0.466,0.419,0.050
2,0.452,0.407,0.045
2,0.448,0.403,0.046
2,0.454,0.409,0.051
2,0.466,0.418,0.057
2,0.452,0.404,0.052
2,0.447,0.403,0.049
2,0.457,0.412,0.048
2,0.466,0.419,0.057
2,0.474,0.426,0.061
2,0.450,0.405,0.044
2,0.462,0.414,0.054
2,0.518,0.438,0.046
2,0.548,0.459,0.065
2,0.514,0.454,0.058
2,0.484,0.433,0.051
2,0.556,0.480,0.059
2,0.515,0.447,0.057
2,0.504,0.446,0.061
2,0.480,0.431,0.044
2,0.477,0.425,0.059
2,0.468,0.416,0.050
2,0.463,0.414,0.051
2,0.467,0.417,0.047
2,0.473,0.425,0.056
2,0.463,0.415,0.048
2,0.463,0.414,0.053
2,0.464,0.415,0.050
2,0.465,0.413,0.051
2,0.471,0.421,0.048
2,0.498,0.439,0.059
2,0.505,0.442,0.050
2,0.543,0.455,0.065
2,0.509,0.448,0.061
2,0.476,0.421,0.055
2,0.476,0.424,0.057
2,0.494,0.436,0.053
2,0.497,0.444,0.067
2,0.498,0.444,0.069
2,0.458,0.411,0.047
2,0.528,0.462,0.058
2,0.581,0.466,0.066
2,0.449,0.404,0.042
2,0.551,0.472,0.060
2,0.458,0.407,0.047
2,0.520,0.454,0.061
2,0.474,0.421,0.054
2,0.471,0.417,0.047
2,0.463,0.413,0.057
2,0.476,0.425,0.054
2,0.488,0.432,0.047
2,0.485,0.430,0.057
2,0.476,0.421,0.049
2,0.475,0.419,0.053
2,0.460,0.412,0.048
2,0.458,0.412,0.047
2,0.470,0.421,0.051
2,0.463,0.414,0.046
2,0.462,0.415,0.044
2,0.480,0.429,0.060
2,0.462,0.415,0.047
2,0.470,0.423,0.050
2,0.466,0.418,0.050
2,0.502,0.444,0.083
2,0.480,0.431,0.052
2,0.452,0.404,0.048
2,0.456,0.412,0.044
2,0.471,0.418,0.055
2,0.460,0.412,0.046
2,0.453,0.407,0.045
2,0.466,0.419,0.054
2,0.474,0.425,0.052
2,0.463,0.415,0.053
3,0.478,0.428,0.058
3,0.470,0.421,0.058
3,0.474,0.424,0.054
3,0.478,0.424,0.056
3,0.484,0.431,0.067
3,0.456,0.409,0.050
3,0.478,0.427,0.059
3,0.460,0.414,0.054
3,0.466,0.416,0.048
3,0.476,0.421,0.055
3,0.463,0.414,0.051
3,0.462,0.414,0.053
3,0.466,0.420,0.051
3,0.459,0.414,0.051
3,0.452,0.409,0.047
3,0.467,0.418,0.054
3,0.473,0.421,0.055
3,0.467,0.421,0.049
3,0.456,0.412,0.043
3,0.455,0.410,0.047
3,0.452,0.405,0.053
3,0.489,0.437,0.057
3,0.477,0.428,0.064
3,0.476,0.426,0.049
3,0.473,0.421,0.058
3,0.473,0.426,0.050
3,0.459,0.413,0.052
3,0.470,0.425,0.052
3,0.463,0.416,0.051
3,0.497,0.437,0.068
3,0.466,0.419,0.047
3,0.573,0.417,0.050
3,0.465,0.416,0.056
3,0.468,0.420,0.053
3,0.456,0.411,0.046
3,0.476,0.427,0.063
3,0.462,0.414,0.050
3,0.460,0.414,0.050
3,0.448,0.404,0.043
3,0.474,0.426,0.056
3,0.460,0.409,0.047
3,0.457,0.411,0.049
3,0.531,0.465,0.057
3,0.541,0.444,0.060
3,0.459,0.413,0.052
3,0.464,0.418,0.051
3,0.500,0.448,0.060
3,0.454,0.407,0.048
3,0.484,0.431,0.067
3,0.471,0.421,0.055
3,0.455,0.408,0.047
3,0.471,0.423,0.057
3,0.461,0.411,0.043
3,0.471,0.422,0.058
3,0.465,0.417,0.052
3,0.466,0.418,0.051
3,0.467,0.418,0.059
3,0.452,0.407,0.044
3,0.486,0.435,0.065
3,0.477,0.429,0.060
3,0.472,0.420,0.055
3,0.511,0.451,0.063
3,0.488,0.433,0.056
3,0.559,0.472,0.070
3,0.516,0.448,0.073
3,0.574,0.498,0.059
3,0.680,0.530,0.072
3,0.895,0.585,0.084
3,0.589,0.508,0.062
3,0.494,0.440,0.059
3,0.539,0.479,0.049
3,0.520,0.463,0.057
3,0.472,0.423,0.052
3,0.472,0.421,0.056
3,0.461,0.413,0.049
3,0.466,0.418,0.052
3,0.463,0.416,0.052
3,0.527,0.447,0.053
3,0.459,0.415,0.043
3,0.495,0.438,0.067
3,0.453,0.405,0.051
3,0.504,0.450,0.071
3,0.466,0.418,0.053
3,0.474,0.421,0.049
3,0.485,0.433,0.057
3,0.487,0.434,0.066
3,0.465,0.416,0.051
3,0.486,0.433,0.056
3,0.502,0.445,0.074
3,0.452,0.404,0.044
3,0.466,0.417,0.049
3,0.489,0.437,0.050
3,0.475,0.424,0.053
3,0.477,0.427,0.062
3,0.473,0.420,0.048
3,0.525,0.460,0.051
3,0.491,0.435,0.056
3,0.495,0.440,0.067
3,0.481,0.427,0.061
3,0.466,0.418,0.047
4,0.493,0.440,0.063
4,0.463,0.413,0.052
4,0.486,0.436,0.067
4,0.457,0.412,0.046
4,0.476,0.425,0.063
4,0.452,0.407,0.045
4,0.463,0.415,0.053
4,0.483,0.430,0.072
4,0.485,0.428,0.048
4,0.482,0.428,0.059
4,0.444,0.399,0.048
4,0.452,0.404,0.050
4,0.470,0.420,0.060
4,0.464,0.412,0.058
4,0.477,0.425,0.068
4,0.453,0.406,0.052
4,0.466,0.418,0.053
4,0.450,0.403,0.048
4,0.498,0.445,0.076
4,0.475,0.426,0.055
4,0.469,0.420,0.061
4,0.459,0.414,0.052
4,0.475,0.426,0.058
4,0.457,0.409,0.051
4,0.469,0.422,0.056
4,0.464,0.415,0.057
4,0.457,0.408,0.049
4,0.474,0.422,0.065
4,0.456,0.408,0.053
4,0.461,0.413,0.050
4,0.459,0.412,0.054
4,0.455,0.409,0.049
4,0.469,0.420,0.053
4,0.472,0.426,0.047
4,0.457,0.411,0.053
4,0.508,0.452,0.077
4,0.461,0.415,0.053
4,0.468,0.418,0.064
4,0.460,0.413,0.053
4,0.457,0.413,0.050
4,0.443,0.399,0.049
4,0.455,0.410,0.044
4,0.465,0.415,0.057
4,0.451,0.404,0.048
4,0.446,0.401,0.046
4,0.459,0.409,0.053
4,0.487,0.435,0.067
4,0.467,0.417,0.061
4,0.445,0.401,0.045
4,0.496,0.442,0.069
4,0.443,0.398,0.049
4,0.483,0.433,0.055
4,0.514,0.451,0.049
4,0.478,0.427,0.054
4,0.460,0.413,0.048
4,0.470,0.417,0.049
4,0.461,0.410,0.050
4,0.490,0.434,0.052
4,0.464,0.415,0.052
4,0.458,0.411,0.049
4,0.470,0.421,0.052
4,0.487,0.432,0.067
4,0.470,0.418,0.050
4,0.454,0.406,0.050
4,0.460,0.411,0.047
4,0.454,0.407,0.048
4,0.481,0.430,0.061
4,0.463,0.411,0.050
4,0.464,0.417,0.046
4,0.460,0.412,0.050
4,0.451,0.404,0.046
4,0.459,0.407,0.049
4,0.460,0.412,0.049
4,0.465,0.415,0.050
4,0.508,0.452,0.083
4,0.452,0.407,0.045
4,0.510,0.454,0.083
4,0.480,0.430,0.058
4,0.482,0.430,0.064
4,0.454,0.406,0.047
4,0.477,0.428,0.057
4,0.496,0.444,0.070
4,0.454,0.406,0.049
4,0.500,0.446,0.068
4,0.469,0.419,0.056
4,0.471,0.419,0.050
4,0.495,0.440,0.060
4,0.497,0.441,0.058
4,0.464,0.413,0.048
4,0.460,0.412,0.046
4,0.477,0.424,0.060
4,0.449,0.403,0.049
4,0.469,0.417,0.050
4,0.451,0.404,0.048
4,0.482,0.430,0.062
4,0.462,0.414,0.051
4,0.465,0.419,0.044
4,0.520,0.461,0.050
4,0.511,0.447,0.057
4,0.487,0.424,0.057
5,0.504,0.443,0.065
5,0.476,0.425,0.058
5,0.479,0.428,0.057
5,0.456,0.411,0.050
5,0.464,0.417,0.050
5,0.470,0.420,0.050
5,0.474,0.424,0.053
5,0.519,0.454,0.066
5,0.473,0.421,0.055
5,0.494,0.436,0.051
5,0.463,0.416,0.054
5,0.475,0.426,0.050
5,0.472,0.423,0.058
5,0.497,0.443,0.069
5,0.470,0.421,0.051
5,0.473,0.423,0.055
5,0.504,0.445,0.062
5,0.469,0.422,0.052
5,0.531,0.446,0.071
5,0.484,0.434,0.056
5,0.456,0.406,0.052
5,0.481,0.427,0.053
5,0.482,0.430,0.067
5,0.480,0.430,0.060
5,0.459,0.410,0.052
5,0.474,0.425,0.057
5,0.483,0.432,0.063
5,0.489,0.437,0.063
5,0.488,0.425,0.060
5,0.477,0.428,0.057
5,0.489,0.437,0.064
5,0.474,0.425,0.058
5,0.457,0.410,0.047
5,0.492,0.439,0.068
5,0.488,0.436,0.065
5,0.484,0.435,0.053
5,0.480,0.429,0.051
5,0.494,0.433,0.062
