Threads,CpuTime,UserTime,SystemTime
1,0.478,0.401,0.049
1,0.444,0.398,0.044
1,0.443,0.396,0.047
1,0.452,0.404,0.053
1,0.437,0.392,0.043
1,0.498,0.449,0.044
1,0.549,0.474,0.052
1,0.449,0.400,0.046
1,0.491,0.429,0.072
1,0.445,0.397,0.045
2,0.460,0.409,0.057
2,0.444,0.399,0.047
2,0.450,0.404,0.046
2,0.458,0.411,0.053
2,0.475,0.423,0.063
2,0.458,0.408,0.054
2,0.451,0.400,0.053
2,0.451,0.404,0.050
2,0.461,0.413,0.050
2,0.453,0.406,0.049
3,0.450,0.404,0.045
3,0.459,0.411,0.052
3,0.459,0.411,0.059
3,0.483,0.429,0.070
3,0.461,0.412,0.057
3,0.465,0.412,0.057
3,0.482,0.429,0.061
3,0.483,0.430,0.051
3,0.459,0.408,0.053
3,0.463,0.413,0.051
4,0.449,0.400,0.050
4,0.466,0.416,0.050
4,0.462,0.410,0.052
4,0.466,0.416,0.053
4,0.498,0.440,0.071
4,0.445,0.399,0.046
4,0.509,0.457,0.059
4,0.447,0.401,0.049
4,0.446,0.400,0.046
4,0.485,0.434,0.056
5,0.458,0.408,0.055
5,0.451,0.404,0.051
5,0.499,0.441,0.079
5,0.479,0.427,0.068
5,0.470,0.420,0.061
5,0.479,0.424,0.073
5,0.475,0.420,0.069
5,0.461,0.411,0.064
5,0.480,0.429,0.070
5,0.457,0.408,0.057
6,0.478,0.420,0.077
6,0.462,0.413,0.059
6,0.463,0.414,0.059
6,0.454,0.405,0.053
6,0.444,0.398,0.048
6,0.469,0.415,0.063
6,0.478,0.424,0.074
6,0.493,0.437,0.078
6,0.487,0.432,0.060
6,0.580,0.483,0.069
7,0.445,0.400,0.048
7,0.506,0.445,0.064
7,0.451,0.403,0.054
7,0.519,0.455,0.071
7,0.485,0.430,0.075
7,0.469,0.415,0.062
7,0.476,0.424,0.065
7,0.533,0.467,0.112
7,0.463,0.413,0.056
7,0.455,0.407,0.051
8,0.456,0.408,0.056
8,0.515,0.460,0.054
8,0.458,0.410,0.051
8,0.479,0.428,0.061
8,0.489,0.434,0.078
8,0.464,0.414,0.052
8,0.452,0.406,0.048
8,0.477,0.425,0.053
8,0.491,0.427,0.058
8,0.462,0.415,0.051
