Threads,CpuTime,UserTime,SystemTime
1,0.453,0.401,0.047
1,0.460,0.408,0.048
1,0.443,0.398,0.043
1,0.472,0.423,0.050
1,0.450,0.403,0.044
1,0.466,0.416,0.049
1,0.443,0.396,0.045
1,0.462,0.410,0.051
1,0.447,0.400,0.044
1,0.449,0.400,0.043
2,0.454,0.408,0.047
2,0.443,0.398,0.044
2,0.474,0.423,0.050
2,0.450,0.403,0.046
2,0.461,0.414,0.052
2,0.452,0.406,0.044
2,0.464,0.415,0.053
2,0.449,0.402,0.047
2,0.493,0.442,0.061
2,0.490,0.435,0.077
3,0.469,0.418,0.053
3,0.505,0.449,0.052
3,0.461,0.413,0.050
3,0.463,0.415,0.055
3,0.452,0.404,0.051
3,0.445,0.395,0.050
3,0.489,0.437,0.058
3,0.510,0.449,0.083
3,0.457,0.408,0.054
3,0.468,0.414,0.055
4,0.461,0.413,0.058
4,0.487,0.437,0.051
4,0.459,0.409,0.052
4,0.455,0.405,0.054
4,0.477,0.424,0.051
4,0.444,0.398,0.046
4,0.483,0.433,0.067
4,0.484,0.433,0.057
4,0.441,0.395,0.049
4,0.462,0.412,0.054
5,0.481,0.429,0.070
5,0.489,0.436,0.077
5,0.460,0.409,0.058
5,0.491,0.438,0.074
5,0.468,0.416,0.065
5,0.465,0.416,0.060
5,0.466,0.413,0.063
5,0.473,0.421,0.068
5,0.458,0.409,0.057
5,0.481,0.429,0.072
6,0.468,0.419,0.056
6,0.495,0.439,0.079
6,0.494,0.438,0.084
6,0.466,0.416,0.055
6,0.475,0.425,0.063
6,0.513,0.459,0.071
6,0.573,0.491,0.057
6,0.455,0.406,0.050
6,0.550,0.491,0.065
6,0.474,0.418,0.058
7,0.464,0.416,0.048
7,0.464,0.414,0.054
7,0.482,0.430,0.067
7,0.524,0.462,0.082
7,0.484,0.429,0.066
7,0.478,0.418,0.055
7,0.540,0.470,0.059
7,0.494,0.433,0.067
7,0.484,0.425,0.050
7,0.513,0.447,0.059
8,0.480,0.425,0.059
8,0.489,0.436,0.067
8,0.475,0.422,0.059
8,0.453,0.404,0.054
8,0.477,0.424,0.060
8,0.522,0.440,0.067
8,0.465,0.414,0.056
8,0.473,0.412,0.058
8,0.524,0.458,0.071
8,0.505,0.442,0.084
