Threads,CpuTime,UserTime,SystemTime
1,0.454,0.401,0.047
1,0.453,0.402,0.045
1,0.431,0.387,0.042
1,0.447,0.401,0.044
1,0.446,0.401,0.041
1,0.439,0.394,0.043
1,0.453,0.407,0.042
1,0.455,0.407,0.044
1,0.462,0.413,0.045
1,0.490,0.413,0.049
2,0.457,0.409,0.043
2,0.464,0.414,0.045
2,0.483,0.414,0.047
2,0.453,0.400,0.045
2,0.442,0.396,0.042
2,0.476,0.415,0.052
2,0.461,0.408,0.046
2,0.439,0.391,0.045
2,0.445,0.400,0.042
2,0.450,0.400,0.044
3,0.453,0.406,0.044
3,0.488,0.422,0.052
3,0.473,0.412,0.049
3,0.454,0.401,0.046
3,0.464,0.408,0.047
3,0.458,0.406,0.046
3,0.472,0.409,0.050
3,0.475,0.419,0.048
3,0.504,0.414,0.056
3,0.467,0.412,0.048
4,0.465,0.407,0.048
4,0.466,0.400,0.050
4,0.457,0.399,0.046
4,0.453,0.396,0.047
4,0.465,0.412,0.046
4,0.460,0.407,0.046
4,0.469,0.417,0.046
4,0.647,0.519,0.060
4,0.692,0.457,0.073
4,0.490,0.419,0.053
5,0.461,0.405,0.048
5,0.485,0.419,0.053
5,0.485,0.418,0.051
5,0.454,0.406,0.043
5,0.448,0.401,0.044
5,0.444,0.395,0.044
5,0.452,0.404,0.044
5,0.488,0.414,0.057
5,0.472,0.415,0.048
5,0.452,0.404,0.045
6,0.450,0.400,0.046
6,0.442,0.392,0.044
6,0.444,0.393,0.044
6,0.468,0.409,0.047
6,0.438,0.391,0.043
6,0.452,0.402,0.046
6,0.445,0.400,0.041
6,0.446,0.402,0.042
6,0.469,0.414,0.044
6,0.433,0.387,0.042
7,0.451,0.407,0.041
7,0.445,0.399,0.042
7,0.444,0.400,0.042
7,0.444,0.399,0.043
7,0.424,0.381,0.041
7,0.444,0.397,0.043
7,0.442,0.399,0.042
7,0.435,0.392,0.040
7,0.456,0.404,0.046
7,0.492,0.427,0.056
8,0.458,0.408,0.046
8,0.471,0.413,0.048
8,0.426,0.381,0.042
8,0.828,0.407,0.059
8,0.431,0.387,0.041
8,0.428,0.384,0.041
8,0.456,0.410,0.043
8,0.434,0.389,0.044
8,0.438,0.391,0.043
8,0.474,0.415,0.049
