Threads,CpuTime,UserTime,SystemTime
1,4.552,1.949,1.314
1,3.201,1.875,1.251
1,2.836,1.711,0.998
1,3.490,1.891,1.103
1,3.307,1.811,1.111
1,3.276,1.779,1.052
1,2.767,1.660,1.019
1,3.087,1.814,1.239
1,3.149,1.891,1.286
1,3.037,1.817,1.244
2,1.859,1.888,1.097
2,1.922,1.897,1.108
2,2.190,1.930,1.184
2,2.089,1.900,1.148
2,1.981,1.861,1.052
2,2.240,1.895,1.124
2,2.216,2.099,1.319
2,2.193,2.036,1.287
2,2.122,2.015,1.271
2,2.222,1.970,1.231
3,2.078,1.933,1.213
3,1.860,1.929,1.187
3,1.770,2.038,1.311
3,1.797,1.823,1.076
3,1.935,1.852,1.150
3,2.100,1.917,1.191
3,1.771,1.772,1.037
3,1.841,1.909,1.179
3,1.867,1.761,1.048
3,1.930,1.855,1.128
4,1.709,1.765,1.084
4,1.734,1.800,1.111
4,1.703,1.811,1.119
4,1.761,1.848,1.147
4,1.727,1.770,1.083
4,1.952,1.992,1.304
4,1.796,1.895,1.193
4,1.841,1.948,1.259
4,2.036,2.052,1.316
4,1.850,1.950,1.263
5,1.998,2.083,1.394
5,1.984,2.142,1.492
5,2.280,2.133,1.410
5,1.951,1.919,1.222
5,1.745,1.790,1.125
5,1.804,1.888,1.223
5,1.909,1.997,1.355
5,2.610,2.257,1.538
5,2.380,2.091,1.384
5,1.939,2.025,1.331
6,1.799,1.893,1.285
6,1.893,1.860,1.233
6,2.079,2.056,1.426
6,2.165,2.250,1.564
6,1.993,2.071,1.430
6,2.136,2.199,1.587
6,2.079,1.994,1.335
6,2.175,2.066,1.424
6,2.015,2.004,1.351
6,1.847,1.884,1.295
7,1.845,1.849,1.238
7,1.768,1.806,1.179
7,1.770,1.833,1.219
7,1.755,1.831,1.222
7,1.786,1.835,1.210
7,2.177,2.174,1.604
7,1.855,1.883,1.285
7,2.300,2.048,1.370
7,2.119,2.136,1.502
7,1.946,2.040,1.394
8,2.232,2.234,1.691
8,1.996,1.907,1.299
8,1.932,1.966,1.403
8,2.616,2.099,1.488
8,3.125,2.258,1.586
8,2.846,2.186,1.513
8,2.242,2.148,1.583
8,2.939,2.326,1.702
8,2.877,2.265,1.650
8,2.772,2.234,1.586
