Threads,CpuTime,UserTime,SystemTime
1,0.490,0.426,0.058
1,0.472,0.417,0.058
1,0.475,0.419,0.051
1,0.465,0.417,0.045
1,0.459,0.409,0.047
1,0.482,0.430,0.053
1,0.477,0.423,0.046
1,0.507,0.440,0.048
1,0.475,0.421,0.048
1,0.504,0.438,0.056
1,0.500,0.433,0.050
1,0.468,0.414,0.048
1,0.475,0.423,0.050
1,0.455,0.406,0.046
1,0.555,0.480,0.049
1,0.501,0.440,0.050
1,0.514,0.449,0.051
1,0.504,0.441,0.057
1,0.493,0.435,0.048
1,0.466,0.416,0.047
1,0.493,0.434,0.049
1,0.451,0.400,0.045
1,0.464,0.414,0.048
1,0.456,0.407,0.046
1,0.502,0.449,0.047
1,0.461,0.412,0.046
1,0.458,0.410,0.049
1,0.456,0.406,0.046
1,0.462,0.411,0.049
1,0.504,0.447,0.055
1,0.467,0.416,0.048
1,0.511,0.446,0.057
1,0.468,0.417,0.045
1,0.545,0.447,0.063
1,0.464,0.411,0.048
1,0.450,0.402,0.050
1,0.438,0.392,0.044
1,0.441,0.397,0.046
1,0.456,0.407,0.045
1,0.475,0.424,0.052
1,0.489,0.425,0.056
1,0.514,0.455,0.061
1,0.441,0.397,0.044
1,0.440,0.391,0.045
1,0.448,0.402,0.047
1,0.446,0.400,0.050
1,0.460,0.407,0.048
1,0.437,0.392,0.045
1,0.491,0.436,0.044
1,0.482,0.425,0.061
1,0.532,0.458,0.061
1,0.624,0.514,0.053
1,0.610,0.512,0.056
1,0.685,0.518,0.061
1,0.528,0.465,0.049
1,0.468,0.418,0.049
1,0.474,0.419,0.050
1,0.483,0.427,0.048
1,0.464,0.413,0.050
1,0.509,0.439,0.050
1,0.533,0.461,0.056
1,0.472,0.416,0.051
1,0.526,0.447,0.059
1,0.513,0.441,0.059
1,0.504,0.436,0.053
1,0.485,0.423,0.051
1,0.474,0.420,0.046
1,0.483,0.424,0.053
1,0.451,0.402,0.046
1,0.499,0.441,0.049
1,0.486,0.430,0.047
1,0.481,0.427,0.047
1,0.483,0.425,0.050
1,0.492,0.429,0.054
1,0.446,0.397,0.047
1,0.454,0.406,0.043
1,0.458,0.410,0.046
1,0.457,0.410,0.048
1,0.473,0.418,0.053
1,0.499,0.444,0.057
1,0.477,0.418,0.062
1,0.485,0.423,0.056
1,0.461,0.409,0.045
1,0.469,0.418,0.054
1,0.456,0.407,0.048
1,0.459,0.410,0.052
1,0.455,0.406,0.047
1,0.456,0.407,0.051
1,0.504,0.433,0.054
1,0.453,0.403,0.046
1,0.474,0.420,0.047
1,0.456,0.407,0.047
1,0.464,0.413,0.046
1,0.497,0.439,0.048
1,0.556,0.474,0.051
1,0.477,0.420,0.049
1,0.447,0.400,0.046
1,0.510,0.453,0.056
1,0.464,0.412,0.048
1,0.489,0.433,0.047
2,0.495,0.435,0.059
2,0.484,0.430,0.054
2,0.493,0.430,0.058
2,0.449,0.400,0.049
2,0.455,0.406,0.049
2,0.524,0.458,0.064
2,0.475,0.420,0.051
2,0.456,0.406,0.047
2,0.481,0.430,0.049
2,0.479,0.424,0.055
2,0.520,0.456,0.067
2,0.467,0.414,0.046
2,0.472,0.418,0.049
2,0.487,0.426,0.058
2,0.463,0.414,0.046
2,0.462,0.409,0.045
2,0.477,0.422,0.048
2,0.457,0.407,0.046
2,0.453,0.403,0.050
2,0.449,0.404,0.047
2,0.442,0.397,0.044
2,0.467,0.418,0.058
2,0.450,0.404,0.049
2,0.449,0.399,0.051
2,0.453,0.406,0.050
2,0.452,0.407,0.051
2,0.447,0.402,0.044
2,0.486,0.437,0.063
2,0.461,0.404,0.048
2,0.446,0.401,0.044
2,0.466,0.418,0.049
2,0.456,0.410,0.052
2,0.465,0.417,0.062
2,0.459,0.413,0.044
2,0.468,0.423,0.050
2,0.485,0.434,0.076
2,0.449,0.403,0.047
2,0.480,0.427,0.055
2,0.521,0.467,0.050
2,0.499,0.426,0.047
2,0.479,0.428,0.047
2,0.471,0.418,0.052
2,0.477,0.422,0.057
2,0.468,0.419,0.053
2,0.473,0.422,0.049
2,0.518,0.450,0.057
2,0.474,0.420,0.051
2,0.463,0.412,0.049
2,0.573,0.488,0.054
2,0.487,0.433,0.048
2,0.525,0.446,0.051
2,0.477,0.423,0.052
2,0.470,0.418,0.058
2,0.494,0.441,0.063
2,0.451,0.400,0.046
2,0.458,0.406,0.052
2,0.546,0.471,0.048
2,0.480,0.427,0.055
2,0.605,0.518,0.052
2,0.538,0.458,0.059
2,0.516,0.452,0.060
2,0.530,0.462,0.055
2,0.621,0.430,0.046
2,0.494,0.432,0.050
2,0.482,0.430,0.057
2,0.486,0.428,0.056
2,0.539,0.461,0.051
2,0.548,0.468,0.060
2,0.469,0.418,0.046
2,0.507,0.432,0.048
2,0.453,0.405,0.047
2,0.519,0.446,0.056
2,0.474,0.422,0.050
2,0.481,0.424,0.058
2,0.494,0.437,0.062
2,0.471,0.417,0.051
2,0.466,0.414,0.049
2,0.515,0.452,0.051
2,0.472,0.418,0.048
2,0.460,0.411,0.045
2,0.459,0.409,0.047
2,0.456,0.408,0.045
2,0.463,0.414,0.052
2,0.460,0.411,0.050
2,0.473,0.418,0.054
2,0.450,0.403,0.048
2,0.460,0.412,0.051
2,0.452,0.404,0.050
2,0.458,0.408,0.045
2,0.509,0.454,0.081
2,0.478,0.424,0.064
2,0.469,0.420,0.047
2,0.469,0.416,0.049
2,0.492,0.437,0.058
2,0.479,0.423,0.055
2,0.464,0.413,0.047
2,0.469,0.418,0.053
2,0.473,0.418,0.047
2,0.453,0.406,0.045
2,0.444,0.399,0.043
3,0.490,0.435,0.070
3,0.551,0.469,0.069
3,0.561,0.491,0.059
3,0.468,0.415,0.047
3,0.480,0.428,0.058
3,0.482,0.425,0.059
3,0.471,0.416,0.054
3,0.455,0.406,0.045
3,0.463,0.413,0.048
3,0.487,0.429,0.069
3,0.470,0.414,0.056
3,0.447,0.399,0.047
3,0.469,0.419,0.054
3,0.478,0.423,0.058
3,0.464,0.414,0.054
3,0.488,0.427,0.062
3,0.465,0.414,0.052
3,0.500,0.442,0.072
3,0.500,0.443,0.050
3,0.482,0.427,0.049
3,0.472,0.420,0.060
3,0.481,0.429,0.062
3,0.473,0.421,0.064
3,0.472,0.422,0.053
3,0.460,0.412,0.052
3,0.485,0.432,0.069
3,0.479,0.429,0.064
3,0.472,0.421,0.052
3,0.477,0.425,0.060
3,0.457,0.409,0.049
3,0.454,0.407,0.047
3,0.450,0.400,0.050
3,0.456,0.406,0.053
3,0.477,0.421,0.059
3,0.459,0.410,0.048
3,0.458,0.410,0.048
3,0.456,0.409,0.050
3,0.460,0.409,0.050
3,0.484,0.430,0.061
3,0.508,0.439,0.054
3,0.497,0.439,0.061
3,0.481,0.425,0.056
3,0.518,0.434,0.057
3,0.512,0.428,0.067
3,0.492,0.423,0.045
3,0.488,0.431,0.056
3,0.469,0.418,0.047
3,0.479,0.424,0.056
3,0.480,0.428,0.050
3,0.471,0.420,0.051
3,0.496,0.426,0.048
3,0.518,0.459,0.070
3,0.464,0.415,0.047
3,0.549,0.471,0.060
3,0.500,0.438,0.057
3,0.503,0.444,0.051
3,0.519,0.456,0.064
3,0.478,0.424,0.053
3,0.479,0.426,0.052
3,0.472,0.423,0.048
3,0.547,0.469,0.066
3,0.467,0.413,0.056
3,0.454,0.404,0.049
3,0.464,0.415,0.052
3,0.462,0.411,0.051
3,0.462,0.412,0.050
3,0.474,0.423,0.056
3,0.468,0.419,0.057
3,0.463,0.413,0.060
3,0.470,0.415,0.049
3,0.477,0.426,0.065
3,0.477,0.428,0.057
3,0.477,0.427,0.054
3,0.468,0.417,0.053
3,0.469,0.418,0.055
3,0.479,0.423,0.058
3,0.520,0.463,0.075
3,0.594,0.497,0.069
3,0.463,0.410,0.051
3,0.501,0.446,0.058
3,0.490,0.436,0.071
3,0.482,0.429,0.052
3,0.459,0.413,0.046
3,0.480,0.431,0.063
3,0.476,0.426,0.056
3,0.466,0.417,0.051
3,0.460,0.409,0.049
3,0.518,0.461,0.052
3,0.465,0.414,0.052
3,0.453,0.408,0.044
3,0.464,0.412,0.049
3,0.470,0.420,0.053
3,0.501,0.444,0.064
3,0.473,0.421,0.053
3,0.467,0.415,0.059
3,0.471,0.422,0.050
3,0.500,0.448,0.046
3,0.462,0.414,0.054
3,0.486,0.430,0.066
3,0.472,0.423,0.054
4,0.476,0.425,0.059
4,0.472,0.418,0.052
4,0.472,0.422,0.060
4,0.453,0.405,0.049
4,0.463,0.416,0.046
4,0.456,0.409,0.049
4,0.495,0.443,0.072
4,0.458,0.409,0.048
4,0.450,0.404,0.049
4,0.469,0.419,0.049
4,0.465,0.415,0.060
4,0.465,0.413,0.054
4,0.457,0.409,0.049
4,0.451,0.405,0.049
4,0.478,0.423,0.060
4,0.467,0.416,0.065
4,0.470,0.422,0.059
4,0.508,0.452,0.051
4,0.452,0.403,0.052
4,0.452,0.403,0.049
4,0.460,0.413,0.050
4,0.461,0.412,0.055
4,0.505,0.454,0.070
4,0.458,0.411,0.050
4,0.485,0.432,0.069
