Threads,CpuTime,UserTime,SystemTime
1,0.500,0.121,0.048
1,0.265,0.120,0.049
1,0.249,0.112,0.044
1,0.249,0.129,0.025
1,0.257,0.123,0.040
1,0.249,0.124,0.029
1,0.251,0.129,0.025
1,0.262,0.117,0.046
1,0.250,0.115,0.040
1,0.250,0.133,0.021
1,0.257,0.115,0.049
1,0.252,0.115,0.044
1,0.248,0.104,0.049
1,0.249,0.103,0.053
1,0.253,0.113,0.044
1,0.249,0.121,0.033
1,0.247,0.097,0.055
1,0.260,0.119,0.040
1,0.249,0.121,0.032
1,0.249,0.129,0.025
1,0.250,0.105,0.049
1,0.259,0.119,0.044
1,0.263,0.111,0.046
1,0.250,0.112,0.044
1,0.249,0.119,0.038
1,0.251,0.093,0.063
1,0.257,0.128,0.033
1,0.250,0.127,0.027
1,0.261,0.116,0.050
1,0.266,0.144,0.030
1,0.250,0.109,0.045
1,0.258,0.108,0.053
1,0.258,0.130,0.033
1,0.249,0.109,0.045
1,0.261,0.137,0.030
1,0.254,0.132,0.027
1,0.254,0.109,0.049
1,0.258,0.121,0.042
1,0.252,0.114,0.043
1,0.249,0.130,0.024
1,0.240,0.101,0.042
1,0.218,0.097,0.026
1,0.219,0.094,0.028
1,0.260,0.115,0.050
1,0.250,0.109,0.046
1,0.249,0.101,0.053
1,0.248,0.124,0.029
1,0.252,0.096,0.061
1,0.258,0.109,0.054
1,0.249,0.116,0.038
1,0.248,0.120,0.033
1,0.251,0.131,0.026
1,0.251,0.105,0.051
1,0.257,0.113,0.049
1,0.251,0.110,0.046
1,0.253,0.108,0.049
1,0.248,0.105,0.048
1,0.249,0.092,0.061
1,0.252,0.128,0.029
1,0.251,0.124,0.033
1,0.255,0.135,0.025
1,0.257,0.116,0.046
1,0.251,0.098,0.058
1,0.250,0.098,0.057
1,0.248,0.112,0.041
1,0.261,0.135,0.031
1,0.219,0.096,0.028
1,0.229,0.095,0.039
1,0.280,0.124,0.061
1,0.249,0.109,0.045
1,0.247,0.104,0.048
1,0.251,0.095,0.060
1,0.248,0.120,0.033
1,0.250,0.107,0.048
1,0.259,0.115,0.048
1,0.249,0.104,0.053
1,0.249,0.121,0.032
1,0.258,0.119,0.043
1,0.251,0.110,0.046
1,0.248,0.109,0.043
1,0.249,0.105,0.049
1,0.247,0.115,0.036
1,0.249,0.107,0.046
1,0.255,0.107,0.052
1,0.252,0.104,0.052
1,0.260,0.128,0.037
1,0.248,0.116,0.037
1,0.251,0.101,0.055
1,0.249,0.097,0.057
