Threads,CpuTime,UserTime,SystemTime
1,0.582,0.468,0.054
1,0.501,0.424,0.048
1,0.465,0.408,0.048
1,0.478,0.419,0.052
1,0.468,0.407,0.050
1,0.450,0.403,0.043
1,0.454,0.402,0.045
1,0.457,0.407,0.044
1,0.457,0.404,0.046
1,0.453,0.405,0.044
2,0.457,0.406,0.043
2,0.474,0.415,0.048
2,0.469,0.415,0.047
2,0.475,0.421,0.048
2,0.463,0.411,0.046
2,0.482,0.420,0.053
2,0.465,0.409,0.047
2,0.505,0.438,0.053
2,0.468,0.412,0.048
2,0.457,0.402,0.048
3,0.464,0.405,0.048
3,0.471,0.412,0.048
3,0.464,0.414,0.045
3,0.470,0.418,0.046
3,0.466,0.410,0.048
3,0.465,0.408,0.047
3,0.461,0.407,0.046
3,0.459,0.407,0.044
3,0.479,0.419,0.052
3,0.474,0.413,0.050
4,0.470,0.414,0.048
4,0.458,0.402,0.047
4,0.463,0.408,0.047
4,0.478,0.424,0.048
4,0.463,0.409,0.047
4,0.468,0.418,0.043
4,0.480,0.423,0.049
4,0.478,0.424,0.047
4,0.470,0.413,0.049
4,0.463,0.411,0.045
5,0.472,0.417,0.048
5,0.472,0.411,0.051
5,0.478,0.416,0.051
5,0.470,0.412,0.049
5,0.480,0.422,0.050
5,0.475,0.419,0.047
5,0.467,0.412,0.048
5,0.459,0.406,0.045
5,0.469,0.415,0.046
5,0.466,0.410,0.047
6,0.471,0.413,0.049
6,0.477,0.422,0.047
6,0.462,0.409,0.045
6,0.468,0.413,0.047
6,0.479,0.414,0.052
6,0.595,0.482,0.069
6,0.488,0.414,0.057
6,0.508,0.434,0.056
6,0.477,0.414,0.052
6,0.477,0.415,0.051
7,0.468,0.410,0.051
7,0.466,0.408,0.050
7,0.472,0.410,0.050
7,0.464,0.408,0.049
7,0.490,0.425,0.052
7,0.483,0.418,0.053
7,0.472,0.417,0.048
7,0.466,0.408,0.049
7,0.471,0.406,0.054
7,0.484,0.418,0.053
8,0.496,0.423,0.056
8,0.470,0.408,0.052
8,0.463,0.399,0.052
8,0.468,0.407,0.052
8,0.506,0.431,0.052
8,0.481,0.420,0.050
8,0.476,0.414,0.051
8,0.474,0.412,0.049
8,0.484,0.413,0.055
8,0.476,0.413,0.050
