Threads,CpuTime,UserTime,SystemTime
1,0.598,0.423,0.060
1,0.453,0.401,0.048
1,0.463,0.410,0.050
1,0.449,0.399,0.046
1,0.450,0.398,0.047
1,0.444,0.395,0.045
1,0.463,0.411,0.050
1,0.464,0.410,0.050
1,0.448,0.397,0.048
1,0.454,0.404,0.048
2,0.358,0.520,0.054
2,0.285,0.399,0.049
2,0.315,0.443,0.053
2,0.297,0.417,0.052
2,0.291,0.406,0.050
2,0.311,0.422,0.056
2,0.293,0.413,0.052
2,0.297,0.417,0.051
2,0.291,0.411,0.051
2,0.300,0.420,0.052
3,0.283,0.513,0.055
3,0.282,0.525,0.055
3,0.278,0.502,0.053
3,0.285,0.520,0.055
3,0.290,0.547,0.056
3,0.290,0.517,0.057
3,0.295,0.529,0.062
3,0.297,0.543,0.058
3,0.291,0.552,0.057
3,0.283,0.518,0.054
4,0.323,0.495,0.057
4,0.328,0.488,0.062
4,0.333,0.494,0.062
4,0.330,0.495,0.058
4,0.341,0.519,0.060
4,0.364,0.528,0.073
4,0.343,0.505,0.061
4,0.331,0.497,0.058
4,0.317,0.495,0.057
4,0.328,0.488,0.060
5,0.325,0.577,0.065
5,0.363,0.595,0.071
5,0.360,0.606,0.080
5,0.312,0.588,0.063
5,0.329,0.586,0.068
5,0.315,0.572,0.062
5,0.350,0.608,0.073
5,0.302,0.583,0.062
5,0.352,0.605,0.078
5,0.310,0.588,0.060
6,0.287,0.568,0.065
6,0.283,0.559,0.065
6,0.309,0.580,0.073
6,0.278,0.542,0.063
6,0.297,0.568,0.069
6,0.292,0.559,0.069
6,0.319,0.576,0.065
6,0.284,0.555,0.065
6,0.297,0.556,0.065
6,0.288,0.554,0.066
7,0.344,0.553,0.072
7,0.311,0.531,0.068
7,0.342,0.563,0.079
7,0.327,0.557,0.065
7,0.307,0.537,0.064
7,0.314,0.548,0.068
7,0.356,0.558,0.080
7,0.328,0.551,0.075
7,0.345,0.579,0.075
7,0.401,0.592,0.094
8,0.333,0.531,0.071
8,0.360,0.541,0.079
8,0.378,0.561,0.085
8,0.378,0.550,0.087
8,0.345,0.522,0.073
8,0.345,0.532,0.075
8,0.395,0.571,0.091
8,0.383,0.562,0.090
8,0.355,0.540,0.076
8,0.424,0.584,0.090
