Threads,CpuTime,UserTime,SystemTime
1,1.614,0.409,0.065
1,0.468,0.417,0.054
1,0.439,0.394,0.046
1,0.453,0.404,0.057
1,0.440,0.394,0.048
1,0.439,0.393,0.046
1,0.438,0.392,0.046
1,0.455,0.407,0.052
1,0.442,0.396,0.044
1,0.459,0.409,0.056
2,0.538,0.470,0.057
2,0.602,0.514,0.052
2,0.572,0.476,0.065
2,0.473,0.422,0.049
2,0.501,0.430,0.060
2,0.497,0.436,0.059
2,0.479,0.421,0.056
2,0.446,0.401,0.044
2,0.456,0.407,0.049
2,0.448,0.401,0.051
3,0.485,0.433,0.064
3,0.494,0.441,0.057
3,0.540,0.467,0.075
3,0.502,0.435,0.067
3,0.506,0.448,0.049
3,0.469,0.417,0.063
3,0.470,0.419,0.051
3,0.478,0.427,0.063
3,0.510,0.455,0.050
3,0.492,0.440,0.058
4,0.471,0.422,0.057
4,0.471,0.420,0.053
4,0.491,0.433,0.062
4,0.473,0.418,0.061
4,0.484,0.430,0.054
4,0.495,0.439,0.060
4,0.585,0.498,0.083
4,0.475,0.423,0.059
4,0.523,0.446,0.058
4,0.470,0.420,0.063
5,0.485,0.431,0.065
5,0.516,0.447,0.065
5,0.520,0.453,0.079
5,0.472,0.422,0.058
5,0.519,0.455,0.060
5,0.506,0.450,0.082
5,0.480,0.429,0.047
5,0.466,0.416,0.058
5,0.464,0.412,0.051
5,0.496,0.441,0.066
6,0.474,0.421,0.056
6,0.470,0.418,0.057
6,0.458,0.408,0.049
6,0.506,0.447,0.053
6,0.526,0.464,0.057
6,0.482,0.420,0.052
6,0.460,0.409,0.050
6,0.483,0.428,0.054
6,0.475,0.426,0.054
6,0.474,0.420,0.060
7,0.497,0.439,0.060
7,0.495,0.433,0.052
7,0.609,0.510,0.071
7,0.578,0.493,0.072
7,0.497,0.445,0.049
7,0.494,0.437,0.066
7,0.492,0.436,0.064
7,0.500,0.442,0.058
7,0.522,0.449,0.065
7,0.475,0.423,0.058
8,0.489,0.434,0.058
8,0.460,0.410,0.052
8,0.484,0.426,0.052
8,0.492,0.433,0.056
8,0.530,0.459,0.061
8,0.467,0.414,0.053
8,0.461,0.412,0.050
8,0.484,0.430,0.072
8,0.454,0.406,0.050
8,0.511,0.444,0.057
