Threads,CpuTime,UserTime,SystemTime
1,0.148,0.097,0.053
1,0.135,0.089,0.043
1,0.140,0.094,0.044
1,0.143,0.091,0.050
1,0.129,0.084,0.042
1,0.129,0.085,0.044
1,0.130,0.086,0.045
1,0.130,0.084,0.044
1,0.129,0.084,0.045
1,0.129,0.085,0.044
2,0.131,0.085,0.044
2,0.128,0.082,0.044
2,0.130,0.086,0.045
2,0.131,0.087,0.044
2,0.127,0.084,0.044
2,0.135,0.091,0.047
2,0.135,0.088,0.045
2,0.133,0.088,0.046
2,0.135,0.088,0.046
2,0.133,0.086,0.047
3,0.136,0.089,0.048
3,0.135,0.089,0.047
3,0.133,0.087,0.047
3,0.137,0.089,0.048
3,0.137,0.092,0.047
3,0.134,0.088,0.046
3,0.139,0.090,0.048
3,0.130,0.085,0.045
3,0.139,0.092,0.047
3,0.130,0.085,0.044
4,0.132,0.087,0.046
4,0.136,0.089,0.047
4,0.133,0.086,0.046
4,0.139,0.091,0.048
4,0.132,0.085,0.046
4,0.131,0.086,0.047
4,0.135,0.089,0.046
4,0.131,0.086,0.045
4,0.132,0.087,0.046
4,0.134,0.087,0.046
5,0.137,0.089,0.048
5,0.133,0.086,0.046
5,0.134,0.087,0.047
5,0.134,0.087,0.047
5,0.132,0.086,0.046
5,0.137,0.089,0.046
5,0.133,0.088,0.046
5,0.135,0.089,0.047
5,0.135,0.089,0.047
5,0.134,0.089,0.047
6,0.136,0.090,0.048
6,0.139,0.093,0.048
6,0.139,0.092,0.049
6,0.145,0.095,0.050
6,0.134,0.088,0.046
6,0.136,0.089,0.045
6,0.127,0.083,0.044
6,0.127,0.083,0.043
6,0.132,0.087,0.045
6,0.130,0.085,0.045
7,0.133,0.088,0.045
7,0.132,0.088,0.045
7,0.136,0.090,0.046
7,0.142,0.091,0.049
7,0.133,0.088,0.047
7,0.137,0.090,0.047
7,0.135,0.088,0.047
7,0.135,0.088,0.047
7,0.137,0.089,0.048
7,0.133,0.086,0.046
8,0.137,0.090,0.046
8,0.135,0.090,0.046
8,0.136,0.089,0.046
8,0.133,0.087,0.048
8,0.132,0.087,0.045
8,0.140,0.092,0.047
8,0.131,0.084,0.045
8,0.128,0.083,0.043
8,0.138,0.090,0.047
8,0.132,0.087,0.044
