Threads,CpuTime,UserTime,SystemTime
1,0.458,0.409,0.047
1,0.445,0.401,0.042
1,0.478,0.428,0.050
1,0.465,0.417,0.050
1,0.483,0.428,0.046
1,0.470,0.416,0.050
1,0.467,0.414,0.048
1,0.474,0.420,0.051
1,0.453,0.403,0.046
1,0.465,0.416,0.047
1,0.476,0.426,0.059
1,0.503,0.446,0.066
1,0.479,0.423,0.047
1,0.468,0.419,0.049
1,0.451,0.406,0.043
1,0.458,0.411,0.048
1,0.459,0.412,0.045
1,0.461,0.413,0.045
1,0.505,0.440,0.050
1,0.481,0.425,0.049
1,0.480,0.424,0.050
1,0.464,0.416,0.045
1,0.489,0.430,0.053
1,0.452,0.403,0.045
1,0.457,0.407,0.046
1,0.516,0.454,0.071
1,0.484,0.418,0.056
1,0.476,0.422,0.056
1,0.471,0.420,0.047
1,0.481,0.425,0.054
1,0.464,0.415,0.043
1,0.506,0.432,0.051
1,0.481,0.425,0.049
1,0.648,0.512,0.063
1,0.622,0.525,0.063
1,0.532,0.471,0.061
1,0.607,0.476,0.051
1,0.487,0.428,0.053
1,0.458,0.411,0.046
1,0.454,0.406,0.046
1,0.464,0.416,0.052
1,0.442,0.397,0.046
1,0.708,0.566,0.058
1,0.698,0.583,0.059
1,0.644,0.503,0.058
1,0.642,0.534,0.071
1,0.492,0.438,0.046
1,0.581,0.502,0.053
1,0.627,0.528,0.068
1,0.466,0.415,0.048
1,0.481,0.431,0.043
1,0.449,0.405,0.042
1,0.474,0.422,0.043
1,0.470,0.418,0.046
1,0.459,0.412,0.046
1,0.484,0.428,0.051
1,0.477,0.426,0.052
1,0.449,0.403,0.043
1,0.478,0.428,0.044
1,0.457,0.409,0.045
1,0.452,0.406,0.048
1,0.470,0.421,0.049
1,0.494,0.440,0.051
1,0.479,0.428,0.048
1,0.487,0.436,0.053
1,0.494,0.438,0.052
1,0.527,0.463,0.064
1,0.464,0.413,0.046
1,0.463,0.415,0.047
1,0.532,0.458,0.058
1,0.506,0.446,0.048
1,0.480,0.430,0.054
1,0.506,0.448,0.055
1,0.479,0.432,0.046
1,0.481,0.427,0.049
1,0.479,0.422,0.050
1,0.469,0.420,0.044
1,0.473,0.423,0.048
1,0.473,0.426,0.043
1,0.461,0.417,0.047
1,0.468,0.420,0.044
1,0.483,0.431,0.049
1,0.471,0.417,0.049
1,0.498,0.443,0.051
1,0.481,0.423,0.050
1,0.621,0.483,0.053
1,0.486,0.433,0.047
1,0.485,0.430,0.050
1,0.550,0.459,0.054
1,0.451,0.405,0.043
1,0.467,0.416,0.050
1,0.455,0.409,0.047
1,0.466,0.416,0.046
1,0.472,0.420,0.052
1,0.465,0.413,0.054
1,0.465,0.417,0.048
1,0.446,0.400,0.045
1,0.446,0.401,0.045
1,0.468,0.418,0.045
1,0.479,0.424,0.051
2,0.496,0.436,0.048
2,0.472,0.420,0.049
2,0.469,0.417,0.052
2,0.465,0.417,0.048
2,0.474,0.421,0.048
2,0.479,0.428,0.057
2,0.457,0.410,0.046
2,0.481,0.425,0.051
2,0.490,0.433,0.053
2,0.553,0.472,0.054
2,0.464,0.416,0.047
2,0.485,0.434,0.053
2,0.495,0.427,0.059
2,0.502,0.424,0.052
2,0.452,0.406,0.046
2,0.455,0.408,0.045
2,0.454,0.408,0.047
2,0.459,0.411,0.050
2,0.455,0.410,0.050
2,0.490,0.438,0.068
2,0.461,0.414,0.051
2,0.465,0.418,0.052
2,0.438,0.397,0.041
2,0.448,0.404,0.044
2,0.472,0.425,0.055
2,0.464,0.417,0.051
2,0.449,0.403,0.043
2,0.447,0.402,0.044
2,0.451,0.406,0.049
2,0.484,0.434,0.066
2,0.483,0.432,0.065
2,0.454,0.409,0.045
2,0.457,0.411,0.049
